gene_id	colors
MTTP	brown
ENPEP	brown
RBP2	brown
MS4A12	yellow
APOB	brown
CEACAM7	yellow
SLC7A9	brown
APOA1	brown
MEP1B	brown
AADAC	brown
MGAM	brown
MALRD1	brown
CPS1	brown
C17orf78	brown
FOLH1 /// FOLH1B	brown
APOA4	brown
NTS	brown
PRAC1	yellow
SLC10A2	brown
GBA3	brown
C10orf99	yellow
PDZK1	brown
FAM3B	brown
SLC2A2	brown
FOLH1B	brown
XPNPEP2	brown
PNLIPRP2	brown
RPS4Y1	blue
KCNJ13	brown
LEFTY1	yellow
UGT2A3	brown
CPO	brown
TM4SF20	brown
CCL25	brown
SPINK5	yellow
MME	brown
CXCL13	purple
SLC51A	brown
ABCG5	brown
DPEP1	brown
ERICH4	brown
TM4SF4	brown
LCT	brown
PRAP1	brown
REG1B	brown
SMIM24	brown
SERPINB7	salmon
AQP8	yellow
ANXA10	brown
LEAP2	brown
SLC23A1	brown
HCAR3	blue
OTC	brown
CD177	yellow
PGC	brown
XIST	magenta
HLA-DQA1	grey
ABCG2	brown
INSL5	yellow
EIF1AY	blue
CA4	yellow
TMPRSS15	brown
HOXC6	brown
CA2	yellow
NXPE4	yellow
PCK1	brown
FDCSP	purple
DFNA5	brown
SI	brown
TNFAIP6	blue
GKN1	brown
SERPINB3	salmon
LOC101927020	brown
BPIFB1	brown
CXCL8	blue
SULT1E1	brown
APOC3	brown
CREB3L3	brown
DEPDC7	brown
REEP6	brown
TREH	brown
SULT2A1	brown
PTGS2	blue
CLDN8	yellow
OSR2	brown
SLC6A4	brown
MMP3	blue
ADIRF	brown
CYBRD1	brown
PI3	yellow
S100A12	blue
DEFA6	brown
PROK2	blue
CKB	yellow
ALPI	brown
TNIP3	green
CYP4F2	brown
NOX1	yellow
VNN1	brown
CIDEB	brown
CCL3 /// CCL3L1 /// CCL3L3	blue
CXCL6	blue
SLC17A8	brown
IDO1	cyan
DEFA5	brown
MUC12	yellow
SERPINB4	salmon
GKN2	brown
MNDA	blue
NAT8B	brown
PLA2G12B	brown
SELE	blue
REG1A	cyan
SLC6A19	brown
SLC13A1	brown
DPP4	brown
G6PC	brown
FLJ22763	brown
MMP10	green
SLC16A4	brown
NAALADL1	brown
BCL2A1	blue
ABCB1	brown
GREM1	blue
CXCL9	cyan
DHRS9	yellow
IL1B	blue
TFF2	grey
CXCL11	cyan
AQP9	blue
ACE	brown
SERPINB3 /// SERPINB4	salmon
CTHRC1	blue
HBA1 /// HBA2	brown
CYP4F2 /// CYP4F3	brown
KDM5D	blue
HLA-DQA1 /// LOC100509457	grey
MMP1	blue
GSTA1	brown
CCL19	purple
SLC16A14	yellow
CXCR2	blue
MS4A8	brown
IRG1	blue
MT1M	grey
FCGR3B	blue
SLC7A7	brown
CWH43	yellow
SLC52A1	brown
ACE2	brown
TFPI2	blue
FCGR3A /// FCGR3B	blue
SLPI	yellow
IL6	blue
HLA-DRB1 /// HLA-DRB3 /// HLA-DRB4 /// HLA-DRB5 /// LOC100996809	grey
ENPP7	brown
CLDN18	brown
SLC6A14	green
MS4A1	purple
FABP2	brown
TCN1	grey
TREM1	blue
ALDOB	brown
DHDH	brown
BRINP3	brown
FLVCR1	brown
S100A9	blue
SLC5A1	brown
AQP11	brown
TM4SF5	brown
APOBEC3A /// APOBEC3A_B	blue
FMO1	brown
ABCB1 /// ABCB4	brown
CYP2C18	brown
CCL18	blue
