logFC	AveExpr	t	P.Value	adj.P.Val	B
SERPINA3	1.56692116446523	6.88829425422804	6.60562532735278	1.10206254539931e-09	2.59205110677917e-05	11.6150054622059
CXCL9	1.76346441676297	6.68822500597251	6.21884063616575	7.33542593018778e-09	8.62646089390083e-05	9.86915637559624
MMP9	1.47671083316419	6.99031270694172	6.02934606325382	1.82061245587538e-08	0.00014273601654063	9.03239190136589
IDO1	1.94737023013726	8.24169929956174	5.89539662206923	3.43285340373035e-08	0.000155992573511211	8.44888583682059
MMP3	2.77560799819303	8.72264949135283	5.87209211313888	3.83052355836273e-08	0.000155992573511211	8.34806885718582
PLA2G7	1.16961594625123	5.42725242920311	5.85768440509241	4.09864313709506e-08	0.000155992573511211	8.28584598703392
CCNG2	0.470793951869182	7.00705997074219	5.83109656305718	4.6426361164051e-08	0.000155992573511211	8.17123443244344
IGH /// IGHA1 /// IGHA2	1.16543235002709	12.3078498060236	5.67106234722073	9.76889419149957e-08	0.000287205489230087	7.48736543280438
TICAM2 /// TMED7-TICAM2	0.365173819470718	5.55936764257129	5.63821486166873	1.13651295690107e-07	0.00029700871940348	7.34829845683186
MMP12	1.87205878564321	9.52076500279136	5.57323265052708	1.53110844501018e-07	0.000360116706266395	7.07452021485809
DDIT4	0.848148212844741	8.84923272036677	5.49210227880445	2.21546176713246e-07	0.000422332852432735	6.73524787300936
C4BPB	1.00990432464121	7.78723967150034	5.48853625842694	2.25158173420141e-07	0.000422332852432735	6.72040111162415
GABBR1 /// UBD	1.16568521107892	9.52866627862365	5.48057394451169	2.33432273878638e-07	0.000422332852432735	6.68727097505765
ATP2B1	-0.39596305902303	7.93872389751403	-5.42714398958823	2.97173621150181e-07	0.000460079470280882	6.4656803828588
IFITM3	0.652029077220053	10.8472341854479	5.41640049881508	3.11906618058327e-07	0.000460079470280882	6.42127711794415
CYBB	0.392473563030475	4.0288627547135	5.41235731181153	3.17634102728926e-07	0.000460079470280882	6.40457985184233
STOM	0.642753375291478	7.00923904243389	5.40215954449663	3.32540433451318e-07	0.000460079470280882	6.36249842450216
TGM2	0.526444446685308	5.72262940719927	5.33959817834991	4.40124418822264e-07	0.000545851988970661	6.10536577002891
WARS	1.07797861794007	8.90517376632598	5.33917757783423	4.40951861838544e-07	0.000545851988970661	6.1036430949529
FDCSP	1.98182891248962	6.12619704714881	5.31714465964889	4.86487343799895e-07	0.000547933445257401	6.01351525649662
IFITM1	0.550099821769802	10.4375510076389	5.30769765669808	5.07389055393699e-07	0.000547933445257401	5.97493979496205
SLAMF8	0.677276933114889	5.20637493346742	5.30543549351864	5.12522780427841e-07	0.000547933445257401	5.96570869616224
IFITM1 /// IFITM2	0.673083395737324	10.387592596768	5.29015642856037	5.48549022150393e-07	0.000558068858028149	5.90342219470674
RP4-781L3.1	0.498988070594381	7.76535043238263	5.28106740631183	5.71140000771599e-07	0.000558068858028149	5.86642135723535
IGSF6	0.738415950194871	4.04881091629039	5.27252997837351	5.9318543582924e-07	0.000558068858028149	5.83170104963044
ITGB2	0.641970467191641	5.47643418220071	5.24918153920893	6.57802585573032e-07	0.000595058338949142	5.73692074311641
GPNMB	0.878478863537547	4.5182282164993	5.23434415989633	7.02380985020666e-07	0.000595663302835234	5.67682305026818
DUOXA2	1.48810878662857	8.44409835777237	5.23218051444046	7.09122979565755e-07	0.000595663302835234	5.66806802991182
FKBP11	0.632219535560603	7.47166079898113	5.18693479392359	8.65477169811759e-07	0.000701931828757675	5.48549290471176
TCN1	1.58305518268648	7.20687331840582	5.16455387277829	9.54773131840553e-07	0.000746427114932524	5.39554242703566
C4BPA	1.36949226260654	6.98343428952517	5.15771392970316	9.83811248422969e-07	0.000746427114932524	5.36810019121858
EVI2B	1.12098431241897	7.14337904478254	5.13353742812661	1.09350978263639e-06	0.000772860384466653	5.27128355865922
KYNU	0.912157104211328	5.40211282648384	5.13077191115279	1.10679296242079e-06	0.000772860384466653	5.26022686089787
MMP10	1.7516225699102	5.66346188691577	5.12862151028262	1.11723014761336e-06	0.000772860384466653	5.25163199711503
TNFAIP2	0.467940877882683	5.59722002239862	5.10972079768878	1.21318696187563e-06	0.000807810356922532	5.1761850961844
HLA-DQA1 /// HLA-DQA2 /// LOC100509457	1.36773454242325	7.79847932311017	5.10535926024712	1.23644442386102e-06	0.000807810356922532	5.15879965103295
ACP5	0.713788858859028	6.20409752746169	5.09724308550961	1.28088420578641e-06	0.00081422693297558	5.12647265567039
SLAMF7	0.936948408278672	6.03148445680316	5.06937755914173	1.4456143047982e-06	0.000894759169706673	5.01572917091209
CXCL5	1.47205402908182	5.48800781059764	5.03300549788149	1.69192221302705e-06	0.00102035924231785	4.87175549162832
IGLL3P	0.993281265565432	8.79707866858687	5.02075123773893	1.7837573970561e-06	0.00103863902165923	4.82339677394298
RAB31	1.09811934020759	7.44367470917086	5.01235507801886	1.84945977527947e-06	0.00103863902165923	4.79030648662387
ERO1L	0.895792015469869	8.77272770243673	5.00503564329086	1.90865209531395e-06	0.00103863902165923	4.76148849646876
IFI30 /// PIK3R2	0.684002057153167	9.63379825189664	4.9889239811988	2.04551109991081e-06	0.00103863902165923	4.69814861365362
MXRA5	1.15752227469985	8.4919038980395	4.98880794191889	2.04653058006773e-06	0.00103863902165923	4.69769290130488
CSF2RB	1.42247936862316	6.99438610709758	4.98690048565095	2.06335979505939e-06	0.00103863902165923	4.69020286391751
DRAM1	0.70558113869045	6.32885127791417	4.98666834178689	2.06541712895447e-06	0.00103863902165923	4.68929142624732
RTEL1-TNFRSF6B /// TNFRSF6B	0.869544593847782	7.26166397181384	4.98553255190815	2.07551165042449e-06	0.00103863902165923	4.68483250686855
IFITM2	0.731086776765835	9.66615662155059	4.97804937233336	2.14322894316297e-06	0.0010472111530591	4.65547107545446
IGLC1 /// IGLJ3 /// IGLV2-14 /// IGLV@	1.34597932399357	9.5279325426775	4.97390091105434	2.18168990220645e-06	0.0010472111530591	4.6392061203639
DUOX2	1.42888017633127	10.2939189490014	4.96465586227238	2.26983123694281e-06	0.0010677286138579	4.60299019725181
IL4I1	0.494554856392745	5.19997898520739	4.94049081073894	2.51688214332297e-06	0.00114820995071854	4.50853258233607
CHI3L1	1.35417077744559	5.89144705599717	4.93848178009976	2.53855941485392e-06	0.00114820995071854	4.50069296547623
IGJ	0.847786424111485	10.9531310603929	4.93301343063851	2.59848536884609e-06	0.00115313916745774	4.47936487140188
abParts /// IGKC /// IGKV4-1 /// IGKV4-1	1.48018562074872	8.81519950443389	4.90391203657003	2.94125349438228e-06	0.0012423965768928	4.36611890964489
CKAP2 /// IGLC1 /// IGLJ2 /// IGLJ2 /// IGLJ3 /// IGLJ3 /// IGLJ3 /// IGLV1-44 /// IGLV2-14 /// IGLV@	1.18838408941393	9.0921019865322	4.90313527677267	2.95097931669694e-06	0.0012423965768928	4.36310216649
IGKV1-17 /// IGKV1-17	1.63135844667124	8.96557564625371	4.90256918033983	2.95808708784e-06	0.0012423965768928	4.36090378356748
CD274	0.762709555715641	5.90234606134151	4.89316183248043	3.07866604555953e-06	0.00127035483143088	4.32439540620532
MMP1	2.24515416286639	9.3355752492461	4.87632004911645	3.30656231001694e-06	0.00134086802640687	4.25914941530528
CXCL10	1.3762725882384	7.44620515922622	4.85985394731681	3.54516640058762e-06	0.00141325955494611	4.19550104595058
LAIR1	0.248838124992798	5.47781893153868	4.85228874331467	3.6603155320212e-06	0.00143484368855231	4.16630567276867
DEFB4A /// DEFB4B	1.54758258476736	7.32360487970227	4.8468655324075	3.74508674468388e-06	0.00144400721696663	4.1453949787132
S100A8	1.56471983546553	6.5398149758163	4.83212793437728	3.98518914854248e-06	0.00148827383937043	4.0886477653827
VPS37C	-0.114630237571997	7.00047064303214	-4.83205297233738	3.98644778402794e-06	0.00148827383937043	4.08835941438946
CTA-384D8.35	0.235427173050444	4.55472139464112	4.81908904697206	4.21001606324141e-06	0.00152805704111716	4.038536405427
HIST2H2AA3 /// HIST2H2AA4	0.429652613359581	8.73857219057073	4.81835982154436	4.22294675478806e-06	0.00152805704111716	4.035736467729
TNFRSF9	0.250809293751116	3.91448556512049	4.80782062609514	4.41418597347944e-06	0.00156633814042998	3.9953013944195
PDZK1IP1	1.03071931846044	9.69319059367031	4.80248777731462	4.51412727354183e-06	0.00156633814042998	3.97486350831544
FCER1G	1.04794761347354	6.34537023846413	4.80172877802015	4.52852863729755e-06	0.00156633814042998	3.97195590112609
IGKC /// IGKV2-28 /// IGKV2-28 /// IGKV2D-28 /// IGKV2D-28	1.56913969865755	8.42489285984955	4.78215723361144	4.915653415961e-06	0.00167559664265801	3.89708569045218
CYP27B1	0.440059582637588	4.2556599216034	4.7729235592689	5.10925418528091e-06	0.00171670940625439	3.86183317966938
RABAC1	0.23121935068893	9.36651174427335	4.75951508856125	5.40360261985416e-06	0.00179003850167563	3.81072287394875
TMEM258	0.221303996353058	10.4118801394626	4.75231165337399	5.56845450091502e-06	0.00181902847029891	3.78330450246682
CKAP2 /// DKFZp667J0810 /// IGLC1 /// IGLJ2 /// IGLJ2 /// IGLJ3 /// IGLJ3 /// IGLJ3 /// IGLV1-36 /// IGLV1-36 /// IGLV1-44 /// IGLV1-50 /// IGLV1-50 /// IGLV@	1.51833282746834	7.84919678811078	4.74722610098294	5.68776221707083e-06	0.00183255023760967	3.7639641248269
IGLC1	0.695197712126846	7.88117965390456	4.73707559976781	5.93334398187484e-06	0.00186546290964045	3.72540316546722
BCL2A1	1.6322137512006	6.49267677730968	4.73538678290025	5.97518779114887e-06	0.00186546290964045	3.71899284753499
BASP1	0.637333239220805	5.78655520842703	4.73327729175091	6.02785634067493e-06	0.00186546290964045	3.71098790982872
CD40	0.348887625966346	5.92060654157335	4.72917955278678	6.13145459877183e-06	0.00187288067744303	3.69544495688717
LY96	1.25981148883366	6.19737983514509	4.71009110324718	6.63721156739273e-06	0.00200137456493688	3.62316062159493
IGK /// IGKC	1.06321983093521	9.37641808954523	4.70439205195019	6.7958859485057e-06	0.00202328148745385	3.60161753905525
ZNFX1	0.305261452307067	7.97142572231132	4.70119768376687	6.88642432899919e-06	0.00202460875272576	3.58955014077923
HILPDA	0.443131021149219	6.58959442208626	4.69802736094651	6.97743541541175e-06	0.00202604050580845	3.57757904506933
MBIP	-0.292621644172595	5.31274698592281	-4.69076536701241	7.19031728504128e-06	0.00203949638648242	3.55017840069807
LOC101928620 /// POU2AF1	0.706512561509153	5.04788486962221	4.68562751968815	7.34471470651382e-06	0.00203949638648242	3.53080979469785
AFG3L2	-0.25519152775346	6.90979192453306	-4.68562716731819	7.34472540484077e-06	0.00203949638648242	3.53080846682916
CXCL11	1.64839401104955	6.13033265512157	4.68333080523452	7.41476672073393e-06	0.00203949638648242	3.52215630538417
IGKC	0.648470709163923	6.77374873981319	4.68194517135079	7.45734222948505e-06	0.00203949638648242	3.51693694526927
CXCL1	1.47094201187916	8.78929875531945	4.67070037481627	7.8117166396275e-06	0.0021118571880924	3.47461910227913
KMO	0.448849706190658	3.94544253891401	4.66687367890307	7.93598885154805e-06	0.0021210733839592	3.46023372616441
CLDN1	0.621213291034656	4.86840927613147	4.65954366372965	8.17939511236822e-06	0.00216156598924607	3.43270096253014
TNFRSF17	1.24236522436287	5.57012456872461	4.65457527598408	8.34847037869408e-06	0.00218173359229872	3.41405558486112
IGKV1OR2-108 /// IGKV1OR2-108	1.28223722687783	9.15292379976025	4.64533145965837	8.67208107559248e-06	0.00224139941646083	3.37940137576993
ARPC1B	0.331738032941242	10.1857303345275	4.6421538834678	8.7861001725834e-06	0.00224457957859799	3.36749977080944
CYAT1 /// IGLC1 /// IGLV1-44	0.474705638126429	6.89577659603677	4.63969702566485	8.87525088476246e-06	0.00224457957859799	3.358301419039
CSTA	1.06554955292255	6.24779988596639	4.63499462537284	9.04833074005577e-06	0.00226400786176714	3.34070512822151
BLOC1S5-TXNDC5 /// TXNDC5	0.440276030273766	10.2634861545382	4.6270003392251	9.35009362403423e-06	0.00231488633723458	3.31081861338689
NUCB2	0.394011314105218	7.08111889976667	4.62074577015357	9.5929504511974e-06	0.00235027286054336	3.28746058124602
FAM26F	0.684848767804607	5.17384698776632	4.61771821375019	9.71268658722335e-06	0.00235507617042777	3.27616176603534
IGHA1 /// IGHA2 /// IGHG1 /// IGHG3 /// IGHM /// IGHV3-23 /// IGHV4-31	0.984507745343218	8.0060677989922	4.60851050634947	1.00857874727948e-05	0.00239278732596883	3.24182983670868
CCDC109B	0.575477585102365	6.87904206739143	4.60672748284348	1.01596207643663e-05	0.00239278732596883	3.23518706731782
RAC2	0.746813446814118	7.32284666662819	4.60639573881146	1.01734155015682e-05	0.00239278732596883	3.2339513278931
S100A11P1 /// S100A11P1	0.453409690434688	9.70245183478782	4.60046980531183	1.04229028084039e-05	0.00242719479261048	3.21188763556137
NOS2	0.952714230160681	7.30622536033571	4.59574605875574	1.06260033192391e-05	0.00243014460200871	3.19431394022324
NCF1 /// NCF1B /// NCF1C	0.767825546678655	5.34606790721543	4.59402356500113	1.07010105916784e-05	0.00243014460200871	3.18790885304521
RPN2	0.233837951988884	10.8452850064636	4.59300654824022	1.07455373558208e-05	0.00243014460200871	3.18412785418187
SAMD9L	0.54370953203388	6.73900177746265	4.58361233391044	1.1165388430252e-05	0.00250104700837644	3.14922986916695
MPEG1	0.777306609395296	6.29278930878224	4.57977045011693	1.1341621260685e-05	0.00251655596274822	3.13497205876893
C1QB	0.809604184363187	6.18044752310695	4.57235304513718	1.16895034698379e-05	0.00254091796214258	3.10746825272463
LCN2	0.928746693185007	11.5781839458009	4.5703307740701	1.17861242305046e-05	0.00254091796214258	3.09997498509781
CXCL13	2.10139637843353	6.97879450571401	4.56817537195118	1.18899551646501e-05	0.00254091796214258	3.09199093480944
CSF1R	0.439654934412665	5.81226285617969	4.56665495236027	1.19637284348887e-05	0.00254091796214258	3.08636055288394
SEC11C	0.233500902662144	6.38798625498743	4.56431119123787	1.20783186019215e-05	0.00254091796214258	3.07768372644747
IGLL5	1.05520291940323	8.93228619220837	4.56387809029779	1.20996093435361e-05	0.00254091796214258	3.07608068226717
HAPLN3	0.303968910258511	6.37821570392711	4.54945474527591	1.28297211764208e-05	0.00258816316196139	3.02275536516557
IGKV1-37 /// IGKV1-37 /// IGKV1D-37 /// IGKV1D-37	1.32542474669222	8.80894511700444	4.54726402155951	1.2944273503243e-05	0.00258816316196139	3.0146661400438
BIRC3	0.594767875513211	8.24612881618518	4.54506674633613	1.30601603660331e-05	0.00258816316196139	3.00655543386859
CXCL8	1.82995258613216	7.82673990668888	4.54465781923729	1.30818379672621e-05	0.00258816316196139	3.0050462788087
CD53	0.466687450938037	5.16983965404077	4.54092079516778	1.32815574830782e-05	0.00258816316196139	2.99125906286758
ERLEC1	0.228579066741357	7.28686295638687	4.540340038991	1.33128582749564e-05	0.00258816316196139	2.98911715177073
CDC25B	0.478650282525336	7.91019225949753	4.53999390494127	1.33315475963699e-05	0.00258816316196139	2.98784065066633
CD38	0.723589079489148	5.80608931152548	4.53959982937598	1.33528563379167e-05	0.00258816316196139	2.98638742910784
IGH /// IGHA1 /// IGHA2 /// IGHD /// IGHG1 /// IGHG2 /// IGHG3 /// IGHM /// IGHV4-31	0.847884223989802	7.62903995799698	4.5364573734142	1.35239583591339e-05	0.00258816316196139	2.97480221156882
MSN	0.452926928709267	5.96754257025489	4.53556690229047	1.35728268814955e-05	0.00258816316196139	2.97152034479198
SIGLEC10	0.297469787988741	4.78968431784452	4.53384309949432	1.36679131249692e-05	0.00258816316196139	2.96516847134113
CMKLR1	0.170328694281936	4.55406839350507	4.53380501601804	1.3670021082829e-05	0.00258816316196139	2.9650281601584
PLEK	1.10969386586541	6.72831430835636	4.53227231094933	1.37551188454581e-05	0.00258816316196139	2.95938188458002
SLC7A11	0.736526444090281	5.76196280481578	4.52733303887507	1.40328478630363e-05	0.00261946493443344	2.94119530292489
LRP6	-0.20910972497972	6.14069397656579	-4.51484764820537	1.47592381479204e-05	0.00273336441920542	2.89528511426541
IGF2BP2	-0.19923467284936	6.06689220259242	-4.50061083182911	1.56318317030249e-05	0.00285492235200089	2.84304251235921
PPP1R18	0.708652899165722	6.38021692838749	4.49903240220805	1.57315870084825e-05	0.00285492235200089	2.83725748546079
APOL1	0.7507338690515	7.2714514488065	4.49668585795505	1.58810227369669e-05	0.00285492235200089	2.82865989701263
RNF144B	0.290767527573235	4.61087085412473	4.49637158099444	1.59011406510254e-05	0.00285492235200089	2.82750864411648
LOC100129518 /// SOD2	0.773873227911007	7.4283924993072	4.48758361195505	1.6473750963786e-05	0.00293361287495577	2.79533950750142
SRGN	0.835144750506797	7.26027677163838	4.485852306485	1.65888823286189e-05	0.00293361287495577	2.78900709974119
CRELD2	0.453626865724514	9.25597634108034	4.47930000814779	1.70316772799856e-05	0.00298944066884524	2.76505695497359
PRDX4	0.400297909109428	9.64685954607473	4.47170889896958	1.75589346348313e-05	0.0030307948063986	2.73734038686843
TACC3	0.293339583989137	6.05221953021595	4.47152694024312	1.75717642082095e-05	0.0030307948063986	2.73667642576402
MEI1	0.217835192274727	4.97597375358943	4.47036555925781	1.76538643059782e-05	0.0030307948063986	2.73243903311895
MAFB	0.685800783389984	7.00857668454793	4.46549350999795	1.80023275860443e-05	0.00306822278857799	2.71467138206769
MIR3658 /// UCK2	-0.222457293106172	6.19964719444427	-4.44946248079098	1.91963577209247e-05	0.00323896452967404	2.65630466156281
CCDC167	0.309561809654495	6.72207711779203	4.44838165450513	1.92795507718693e-05	0.00323896452967404	2.65237483812182
SPCS3	0.350948687119635	8.31448592507092	4.44271506058821	1.97214381226996e-05	0.00328762873612483	2.63178242481948
CR2	0.611738817322166	4.07528520819974	4.43966485025317	1.99633227952544e-05	0.00328762873612483	2.62070561144836
C1R	0.884818074923748	7.42846456002854	4.43934867118934	1.99885590674256e-05	0.00328762873612483	2.61955771655347
SERPINE2	0.44821673327091	5.52456746486499	4.43487444244427	2.03489892262062e-05	0.00332366824028034	2.60332011325511
TGFBI	0.905911821486043	8.85693847937224	4.43093711109896	2.06713436935257e-05	0.00335303450808085	2.5890405423531
PNRC1	0.29416633427474	9.37273150448619	4.42760713979888	2.0947809135351e-05	0.00337460596481819	2.57697068117397
TRIM21	0.276565651245219	7.32328668374534	4.42546414435136	2.11276087192557e-05	0.00338041739508091	2.56920653923457
