	logFC	AveExpr	t	P.Value	adj.P.Val	B
SERPINA3	1.56692116446523	6.88829425422804	6.60562532735278	1.10206254539931e-09	2.59205110677917e-05	11.6150054622059
CXCL9	1.76346441676297	6.68822500597251	6.21884063616575	7.33542593018778e-09	8.62646089390083e-05	9.86915637559624
MMP9	1.47671083316419	6.99031270694172	6.02934606325382	1.82061245587538e-08	0.00014273601654063	9.03239190136589
IDO1	1.94737023013726	8.24169929956174	5.89539662206923	3.43285340373035e-08	0.000155992573511211	8.44888583682059
MMP3	2.77560799819303	8.72264949135283	5.87209211313888	3.83052355836273e-08	0.000155992573511211	8.34806885718582
PLA2G7	1.16961594625123	5.42725242920311	5.85768440509241	4.09864313709506e-08	0.000155992573511211	8.28584598703392
IGH /// IGHA1 /// IGHA2	1.16543235002709	12.3078498060236	5.67106234722073	9.76889419149957e-08	0.000287205489230087	7.48736543280438
MMP12	1.87205878564321	9.52076500279136	5.57323265052708	1.53110844501018e-07	0.000360116706266395	7.07452021485809
C4BPB	1.00990432464121	7.78723967150034	5.48853625842694	2.25158173420141e-07	0.000422332852432735	6.72040111162415
GABBR1 /// UBD	1.16568521107892	9.52866627862365	5.48057394451169	2.33432273878638e-07	0.000422332852432735	6.68727097505765
WARS	1.07797861794007	8.90517376632598	5.33917757783423	4.40951861838544e-07	0.000545851988970661	6.1036430949529
FDCSP	1.98182891248962	6.12619704714881	5.31714465964889	4.86487343799895e-07	0.000547933445257401	6.01351525649662
DUOXA2	1.48810878662857	8.44409835777237	5.23218051444046	7.09122979565755e-07	0.000595663302835234	5.66806802991182
TCN1	1.58305518268648	7.20687331840582	5.16455387277829	9.54773131840553e-07	0.000746427114932524	5.39554242703566
C4BPA	1.36949226260654	6.98343428952517	5.15771392970316	9.83811248422969e-07	0.000746427114932524	5.36810019121858
EVI2B	1.12098431241897	7.14337904478254	5.13353742812661	1.09350978263639e-06	0.000772860384466653	5.27128355865922
MMP10	1.7516225699102	5.66346188691577	5.12862151028262	1.11723014761336e-06	0.000772860384466653	5.25163199711503
HLA-DQA1 /// HLA-DQA2 /// LOC100509457	1.36773454242325	7.79847932311017	5.10535926024712	1.23644442386102e-06	0.000807810356922532	5.15879965103295
CXCL5	1.47205402908182	5.48800781059764	5.03300549788149	1.69192221302705e-06	0.00102035924231785	4.87175549162832
RAB31	1.09811934020759	7.44367470917086	5.01235507801886	1.84945977527947e-06	0.00103863902165923	4.79030648662387
MXRA5	1.15752227469985	8.4919038980395	4.98880794191889	2.04653058006773e-06	0.00103863902165923	4.69769290130488
CSF2RB	1.42247936862316	6.99438610709758	4.98690048565095	2.06335979505939e-06	0.00103863902165923	4.69020286391751
IGLC1 /// IGLJ3 /// IGLV2-14 /// IGLV@	1.34597932399357	9.5279325426775	4.97390091105434	2.18168990220645e-06	0.0010472111530591	4.6392061203639
DUOX2	1.42888017633127	10.2939189490014	4.96465586227238	2.26983123694281e-06	0.0010677286138579	4.60299019725181
CHI3L1	1.35417077744559	5.89144705599717	4.93848178009976	2.53855941485392e-06	0.00114820995071854	4.50069296547623
abParts /// IGKC /// IGKV4-1 /// IGKV4-1	1.48018562074872	8.81519950443389	4.90391203657003	2.94125349438228e-06	0.0012423965768928	4.36611890964489
CKAP2 /// IGLC1 /// IGLJ2 /// IGLJ2 /// IGLJ3 /// IGLJ3 /// IGLJ3 /// IGLV1-44 /// IGLV2-14 /// IGLV@	1.18838408941393	9.0921019865322	4.90313527677267	2.95097931669694e-06	0.0012423965768928	4.36310216649
IGKV1-17 /// IGKV1-17	1.63135844667124	8.96557564625371	4.90256918033983	2.95808708784e-06	0.0012423965768928	4.36090378356748
MMP1	2.24515416286639	9.3355752492461	4.87632004911645	3.30656231001694e-06	0.00134086802640687	4.25914941530528
CXCL10	1.3762725882384	7.44620515922622	4.85985394731681	3.54516640058762e-06	0.00141325955494611	4.19550104595058
DEFB4A /// DEFB4B	1.54758258476736	7.32360487970227	4.8468655324075	3.74508674468388e-06	0.00144400721696663	4.1453949787132
S100A8	1.56471983546553	6.5398149758163	4.83212793437728	3.98518914854248e-06	0.00148827383937043	4.0886477653827
PDZK1IP1	1.03071931846044	9.69319059367031	4.80248777731462	4.51412727354183e-06	0.00156633814042998	3.97486350831544
FCER1G	1.04794761347354	6.34537023846413	4.80172877802015	4.52852863729755e-06	0.00156633814042998	3.97195590112609
IGKC /// IGKV2-28 /// IGKV2-28 /// IGKV2D-28 /// IGKV2D-28	1.56913969865755	8.42489285984955	4.78215723361144	4.915653415961e-06	0.00167559664265801	3.89708569045218
CKAP2 /// DKFZp667J0810 /// IGLC1 /// IGLJ2 /// IGLJ2 /// IGLJ3 /// IGLJ3 /// IGLJ3 /// IGLV1-36 /// IGLV1-36 /// IGLV1-44 /// IGLV1-50 /// IGLV1-50 /// IGLV@	1.51833282746834	7.84919678811078	4.74722610098294	5.68776221707083e-06	0.00183255023760967	3.7639641248269
BCL2A1	1.6322137512006	6.49267677730968	4.73538678290025	5.97518779114887e-06	0.00186546290964045	3.71899284753499
LY96	1.25981148883366	6.19737983514509	4.71009110324718	6.63721156739273e-06	0.00200137456493688	3.62316062159493
IGK /// IGKC	1.06321983093521	9.37641808954523	4.70439205195019	6.7958859485057e-06	0.00202328148745385	3.60161753905525
CXCL11	1.64839401104955	6.13033265512157	4.68333080523452	7.41476672073393e-06	0.00203949638648242	3.52215630538417
CXCL1	1.47094201187916	8.78929875531945	4.67070037481627	7.8117166396275e-06	0.0021118571880924	3.47461910227913
TNFRSF17	1.24236522436287	5.57012456872461	4.65457527598408	8.34847037869408e-06	0.00218173359229872	3.41405558486112
IGKV1OR2-108 /// IGKV1OR2-108	1.28223722687783	9.15292379976025	4.64533145965837	8.67208107559248e-06	0.00224139941646083	3.37940137576993
CSTA	1.06554955292255	6.24779988596639	4.63499462537284	9.04833074005577e-06	0.00226400786176714	3.34070512822151
CXCL13	2.10139637843353	6.97879450571401	4.56817537195118	1.18899551646501e-05	0.00254091796214258	3.09199093480944
IGLL5	1.05520291940323	8.93228619220837	4.56387809029779	1.20996093435361e-05	0.00254091796214258	3.07608068226717
IGKV1-37 /// IGKV1-37 /// IGKV1D-37 /// IGKV1D-37	1.32542474669222	8.80894511700444	4.54726402155951	1.2944273503243e-05	0.00258816316196139	3.0146661400438
CXCL8	1.82995258613216	7.82673990668888	4.54465781923729	1.30818379672621e-05	0.00258816316196139	3.0050462788087
PLEK	1.10969386586541	6.72831430835636	4.53227231094933	1.37551188454581e-05	0.00258816316196139	2.95938188458002
AC128677.4 /// CH17-132F21.1 /// IGKV1OR-1 /// IGKV1OR-1 /// IGKV1OR10-1 /// IGKV1OR10-1 /// IGKV1OR2-2	1.10689113151862	8.65262598030093	4.41272692151801	2.22273584245759e-05	0.00350864073923506	2.52311402249475
IGH /// IGHA1 /// IGHA2 /// IGHG1 /// IGHG2 /// IGHG3 /// IGHM /// IGHV4-31 /// LOC102725526	1.1781366253959	7.82536659813721	4.38770792403738	2.45502586214587e-05	0.00369519156455684	2.43285135528878
IGHM	1.02801405963978	7.56531280956046	4.35980148925387	2.7416989578344e-05	0.00395612021400399	2.33260239664291
G0S2	1.27737350500685	7.22356963061867	4.32347226346473	3.16346817654579e-05	0.00422754383592938	2.20278148111386
IGHG1 /// IGHG2 /// IGHM /// IGHV4-31 /// MIR8071-1 /// MIR8071-2	1.44653494453868	11.78409264841	4.25359939126875	4.15656645756492e-05	0.00514144059524849	1.9552953620513
CXCL6	1.69384527815216	5.77718776179726	4.1970822559173	5.17269098859895e-05	0.00584911981018496	1.75725944928566
LAMP3	1.04076488654509	6.33046252512753	4.1943598338586	5.22721940977944e-05	0.00585448573895297	1.74776897284404
NCF2	1.05021139821464	5.28970652665546	4.18700879588812	5.37722460251658e-05	0.00596567559675424	1.72216550290732
MMP7	1.15402837164491	7.24104411388891	4.15946275574013	5.97689603541946e-05	0.00638984521604844	1.62651695314189
IGHA1 /// IGHD /// IGHG1 /// IGHG3 /// IGHM /// IGHV4-31	1.06695363462806	7.50879671284082	4.11729898357388	7.02056028360112e-05	0.0070207397393728	1.48101364477136
SLC6A14	1.46122942435333	8.55155964230923	4.09597073626908	7.61286798409683e-05	0.00733830553221137	1.4078303862045
LOC101928916 /// NNMT	1.0202417511536	6.83668439526013	4.06762578758152	8.47440672578838e-05	0.00766607869963626	1.31100886985843
FCGR3B	1.4176907802082	6.63893972268164	4.06204144896857	8.65480031446805e-05	0.00776950012962933	1.291992895756
IGH /// IGHA1 /// IGHD /// IGHG1 /// IGHG3 /// IGHM /// IGHV3-23 /// IGHV4-31	1.01937673101898	7.43853241334516	4.03382139114614	9.6240125301396e-05	0.00829145694904334	1.19619625844065
S100A9	1.16605685266469	8.18273786048292	4.02681155900913	9.88038439479622e-05	0.00841301125516415	1.17247816064633
CCL18	1.03456472048573	6.85657986630976	3.98770872350789	0.000114345870670277	0.00908586107488146	1.04074200745522
CXCL3	1.15644090577181	8.11041764544491	3.98273750562038	0.000116481458817167	0.00915717039333566	1.02406366184403
WNT5A	1.0720178027657	6.90189009815048	3.96023396522994	0.000126634185676931	0.00967024690623838	0.948761773832828
HCAR3	1.64104551531624	7.0214156845311	3.954399935592	0.000129400990573974	0.00981777838161251	0.929292621062515
IGH /// IGHA1 /// IGHA2 /// IGHD /// IGHG1 /// IGHG3 /// IGHG4 /// IGHM /// IGHV3-23 /// IGHV4-31	1.21649118954784	7.68335577444766	3.9513405080395	0.000130874889570473	0.00986595321377413	0.919091500422121
CTHRC1	1.2841662708882	6.00764033203801	3.93747718079559	0.000137756662801584	0.0102532807249787	0.872941913832647
TNFAIP6	1.37567357147601	5.50861280385628	3.9119217187679	0.000151356487982792	0.0105304987307341	0.788194368701334
IL13RA2	1.11715428494053	4.98350060011325	3.85116165159073	0.000189012798533885	0.0121463962336529	0.588398552276015
SELL	1.11545453434521	6.70924791974683	3.83984283112444	0.000196948487245766	0.0122222385752518	0.551445019354379
REG1A	1.84531116433441	11.0790753091605	3.82988503414533	0.00020419107412379	0.012441901718631	0.519004355586944
PCK1	-1.50222928436687	8.5526466544431	-3.81787537128928	0.000213263111702674	0.0128285124993526	0.479965721677466
AQP9	1.07116504910115	6.56810580493257	3.78040623439221	0.00024409352842599	0.0138484054471721	0.358779613212314
TNIP3	1.41795833486629	5.44249274304766	3.74627835393048	0.000275818190053003	0.0148789996101987	0.249209977728948
IL1B	1.0889885918311	8.56997380984459	3.55582625890562	0.000537828358762336	0.0218629487024678	-0.347831507818804
MNDA	1.26035071914735	5.55310493504108	3.49662904059325	0.000658632511361316	0.0247460649636073	-0.52833636316614
CFI	1.02988204531293	7.45907578071791	3.48886323518209	0.00067625562585258	0.0249849202643826	-0.551834706739942
FCGR3A /// FCGR3B	1.02654872390822	5.36200467365718	3.42216387436073	0.000846973704516408	0.0282966214917982	-0.751913565371884
REG1B	1.94257103284473	10.1247392612598	3.34697485820893	0.00108762841344518	0.0325458273336267	-0.973677603191074
SLC26A2	-1.00750317052141	8.93107361244276	-3.18382323627336	0.00184616165854195	0.0444894694763388	-1.44085311057424
GREM1	1.05344029462315	6.76413376231813	3.13282685556466	0.00216980772395845	0.0490779656889551	-1.58287453722356
