logFC	AveExpr	t	P.Value	adj.P.Val	B
FDCSP	2.37478933921187	6.22548337177097	3.85980715182278	0.00047560110502437	0.999817348967988	-1.26606521206719
SERPINA3	1.46955523964201	7.22622452102307	3.71786831083152	0.000711098334036663	0.999817348967988	-1.48619775197546
KRTAP9-9	-0.125424718299247	2.33422634890219	-3.65024196153048	0.000859848689350494	0.999817348967988	-1.59057823946745
RP11-442O18.2	-0.286253295201081	3.85850724732572	-3.50535366624566	0.00128652776930249	0.999817348967988	-1.81283466175471
DKFZP434L187 /// DKFZP434L187	-0.183295815475495	2.63761204952888	-3.3272697852804	0.00209391300574498	0.999817348967988	-2.08281741499298
LOC101927702	-0.174528889280595	4.46511671414463	-3.19298604508541	0.00300343175260971	0.999817348967988	-2.28351144636168
LOC338694	-0.188041485025437	3.27046261286591	-3.1599182812841	0.0032793871439975	0.999817348967988	-2.33249471629381
TUBB2B	0.230114873042256	3.16212751390044	3.12231276442532	0.00362247201490315	0.999817348967988	-2.38797247056518
ALX1	-0.182785940930425	4.16359545447478	-3.11893770166989	0.00365487641067495	0.999817348967988	-2.39293940193857
LOC284630 /// TTC34	-0.191443797932616	3.33513082674613	-3.11512871410732	0.0036917772735357	0.999817348967988	-2.39854247913684
BRPF1	-0.221040216112747	5.72666458570038	-3.08272683182947	0.00402028647069787	0.999817348967988	-2.44609994288585
AK021933	0.109885392992794	2.91505516514847	3.05119029843671	0.00436647185925117	0.999817348967988	-2.49220047490418
HSPC081	-0.164750615184893	3.40492996974756	-3.04327260572658	0.00445771484667794	0.999817348967988	-2.50374500541412
SMEK3P	-0.107407864621983	2.24791014887579	-3.02276968550666	0.00470243891606323	0.999817348967988	-2.53358320051744
GABBR1 /// UBD	0.793386583522459	9.88815835364626	3.0176012304643	0.00476610346019626	0.999817348967988	-2.54109193120885
CLU	0.703337847843992	5.78795679638035	2.94419315634754	0.00576284268546421	0.999817348967988	-2.64715565584422
NOP14-AS1	-0.110821857423695	3.38744877548105	-2.9262692483439	0.00603443244719906	0.999817348967988	-2.67288227746743
UNC13A	-0.188368157411588	4.6770969437756	-2.87322291231665	0.00691037384242797	0.999817348967988	-2.74861043195523
LOC101929486	-0.164326211006538	2.71560682376808	-2.84233758728202	0.00747390360674125	0.999817348967988	-2.79241042299163
HAPLN2	-0.290538365536184	3.95331029172202	-2.84121111383859	0.0074952485081924	0.999817348967988	-2.79400377386053
LOC101929288	-0.192594891452201	4.44844314541131	-2.82767873732013	0.0077561635656253	0.999817348967988	-2.81312160424042
BCKDHB	0.324772608610479	6.19967766836906	2.79291606731159	0.00846585638486961	0.999817348967988	-2.86203363250686
RWDD2A	0.174918828100853	5.21264380610666	2.79139736043567	0.00849820233536729	0.999817348967988	-2.86416387617865
ZNF780A	0.234578571167656	3.29867081519242	2.79089531666476	0.00850892037639365	0.999817348967988	-2.86486795450062
RP11-678G15.1	-0.158008656520069	3.14652678148195	-2.78138953099156	0.00871425299100609	0.999817348967988	-2.87818751626415
RP11-791M20.1	-0.163793642710003	3.18401006228473	-2.7801177997696	0.00874207126571336	0.999817348967988	-2.87996779952041
NR4A1	-0.291031738453998	5.86998141015746	-2.77871567835628	0.00877283770721925	0.999817348967988	-2.88193015524111
HP09025	-0.170587727273463	3.03941395645621	-2.76902210851105	0.00898831885533728	0.999817348967988	-2.89548368154809
CXCL5	1.16442131191046	6.50694214305868	2.76395544283999	0.00910290031309389	0.999817348967988	-2.9025586451993
TMEM27	-0.131808871730998	2.4552465228345	-2.74429526522369	0.00956051631776384	0.999817348967988	-2.92995101271014
LINC00595	-0.160556248031773	4.8859563000345	-2.72626300335687	0.00999897480652563	0.999817348967988	-2.95498949468619
FSCN2	-0.181595230239646	3.11013131803404	-2.68794602198271	0.0109933954667461	0.999817348967988	-3.00791617197217
GMEB2	-0.126206802279869	6.6274420907692	-2.67049287096488	0.0114760975633517	0.999817348967988	-3.03189620890007
LINC00682	-0.163106725046692	3.15599102477691	-2.66952285588145	0.011503492869974	0.999817348967988	-3.0332265966324
RBFA	-0.120532436439709	4.8184086320212	-2.66116678194779	0.0117420066315666	0.999817348967988	-3.04467660532208
CR2	0.557970698793016	4.10453431685452	2.65501667183788	0.0119204695162299	0.999817348967988	-3.05309185480282
MACROD2-AS1	-0.153350990245563	2.98896044869969	-2.6542170591466	0.0119438560388597	0.999817348967988	-3.05418522074734
N4BP1	0.195947763437022	7.10959502377696	2.65147509622101	0.0120243738338118	0.999817348967988	-3.05793318124685
TNFAIP8L3	-0.150733984677323	2.89297912695952	-2.65134301331758	0.0120282650987325	0.999817348967988	-3.05811367250551
TCN1	1.28154093168802	7.59579816290097	2.64883408555505	0.0121024016273364	0.999817348967988	-3.06154122188027
ABCA11P	0.222840549808028	4.14668627588281	2.64494714227908	0.012218092211883	0.999817348967988	-3.06684795312878
GJD4	-0.208255468890219	3.68533085343659	-2.64389819584158	0.0122494877073533	0.999817348967988	-3.06827934374008
CLIC1P1 /// CLIC1P1	0.125436966906341	3.25371767640117	2.64130469437752	0.0123274329897266	0.999817348967988	-3.07181714172507
LTF	1.08932876101353	6.11358996809271	2.62301832359593	0.0128901579409513	0.999817348967988	-3.09670917397264
VPS37C	-0.116134311524148	7.0364621380481	-2.61918596249937	0.0130110577266599	0.999817348967988	-3.10191420364831
LOC101929528	-0.154951804256135	2.92767051743252	-2.61407073455838	0.0131740593673376	0.999817348967988	-3.10885522889491
C5orf20 /// TIFAB	0.197134352911669	3.63029992157071	2.60480939484153	0.013473983735221	0.999817348967988	-3.12140364885365
LOC102659288	-0.136935679145618	2.66915171659766	-2.60164765852313	0.0135778085667932	0.999817348967988	-3.12568205206901
RFPL1	-0.123806548359431	2.35640976650924	-2.58682769409095	0.0140743669541615	0.999817348967988	-3.14569850553098
HRK /// LOC283454	-0.126407974964859	3.62087321879523	-2.58420292394572	0.0141640371575617	0.999817348967988	-3.14923712645336
ARL6IP5	0.251107254285102	10.0936079044705	2.58363137242054	0.014183632734093	0.999817348967988	-3.1500074111688
MIDN	-0.182356807660918	4.62903979130647	-2.56278851809025	0.0149155080255859	0.999817348967988	-3.17803347056433
HILPDA	0.423704310614966	6.54591916082108	2.55580134135892	0.0151685249087086	0.999817348967988	-3.18740059584435
RAC3	0.163566379100213	3.79617875967677	2.53920166126926	0.0157855200246823	0.999817348967988	-3.20959724538812
CP	0.307320143365555	3.86853924709273	2.53879102906015	0.0158010708312742	0.999817348967988	-3.21014530629933
CCNG2	0.372708686644965	6.87558907210706	2.53813008135601	0.0158261307201101	0.999817348967988	-3.21102735284608
ADAM3A	-0.121484577235944	2.54204992971482	-2.5369594113279	0.0158706063164237	0.999817348967988	-3.21258931666188
DKFZP434F142	-0.119998440170056	2.98815644102928	-2.536602421326	0.0158841917343967	0.999817348967988	-3.21306554926886
DNAJC5B	0.14021693402753	4.52097022599734	2.53109754952469	0.0160950377029347	0.999817348967988	-3.22040440032415
AC005224.2	-0.291755845204498	3.61758112908881	-2.53098369908695	0.0160994253443651	0.999817348967988	-3.22055608597882
HPRT1	0.132344443500513	5.53947035622389	2.5290422775706	0.0161744141774867	0.999817348967988	-3.22314209642345
LINC00623 /// LINC00869	0.160556520688192	6.98047937395923	2.52431621185365	0.0163583030308368	0.999817348967988	-3.22943262526384
EVX1	-0.145191401176976	3.96233847517497	-2.52352657447659	0.016389213677492	0.999817348967988	-3.23048300713376
LOC101928099	0.21779221403689	4.1641558868955	2.52350745347377	0.0163899628398544	0.999817348967988	-3.23050843973848
C14orf23	-0.179736106090216	3.8732262104279	-2.52264717808153	0.0164237009967417	0.999817348967988	-3.23165256842588
POT1	0.351273906623572	5.86254268809409	2.51912824383497	0.0165623699519804	0.999817348967988	-3.23633029792219
IL13RA2	1.1968673233358	5.76004468165144	2.5187425256408	0.0165776348471367	0.999817348967988	-3.23684280926439
TAS2R38	-0.215031975535475	3.86057203687001	-2.51595102695851	0.0166884940221222	0.999817348967988	-3.24055060150247
ROS1	-0.122135680375223	3.15358813336112	-2.51226088708528	0.0168360836261859	0.999817348967988	-3.24544842471012
XG	-0.100905905175046	2.93573298566039	-2.50433884343105	0.0171569778687499	0.999817348967988	-3.25594930866634
CRYBA2	-0.150203617608326	3.51702739203268	-2.49973938717304	0.0173458455092988	0.999817348967988	-3.2620373211848
TICAM2 /// TMED7-TICAM2	0.284647190273085	5.80173070484271	2.49781508804034	0.0174254261753803	0.999817348967988	-3.26458249466742
CTC-459F4.3	-0.221346843763895	5.73950304392448	-2.49664403922302	0.0174740190616803	0.999817348967988	-3.26613083206969
LOC101927342	-0.143830296556986	2.89363561608675	-2.49190668497275	0.0176718643625893	0.999817348967988	-3.27239021389431
LOC100133920	-0.124437486053739	2.48992664987264	-2.48740787904628	0.0178616418629115	0.999817348967988	-3.27832807653854
AX747064	0.14533724157227	3.52789478869096	2.48119856339364	0.0181266369179945	0.999817348967988	-3.28651343434939
VPS37D	-0.203536761248028	5.10886782904305	-2.47217156920548	0.0185182940219156	0.999817348967988	-3.29839204358906
LINC01189 /// LOC101927827	-0.135788107692593	2.33001793111799	-2.46800434441329	0.018701693416925	0.999817348967988	-3.30386720835769
DCK	0.387331027164536	7.59502643725983	2.45500424175585	0.0192845331780136	0.999817348967988	-3.32091294182296
CTD-2534I21.8	-0.151854630803796	3.74389970793885	-2.45482221570297	0.0192928103923899	0.999817348967988	-3.32115124060926
DDIT4	0.544743820968886	9.05096293578318	2.44756304737211	0.0196255571216474	0.999817348967988	-3.33064610337605
CDC5L	0.155850417955683	5.8841380201467	2.44714439073647	0.0196449061926162	0.999817348967988	-3.3311931949129
LOC101928457	-0.10949879903311	3.81012658219286	-2.44663116451929	0.0196686497127071	0.999817348967988	-3.33186379284649
LINC00687	-0.219109820814808	4.10234463928088	-2.43831422971982	0.0200570819407681	0.999817348967988	-3.34271941094651
LINC01354	-0.107225962969603	2.36774474475217	-2.43681882730706	0.0201276595680352	0.999817348967988	-3.34466895949901
COPB2	0.127942723438601	6.34899582212284	2.43448159407319	0.0202384217042512	0.999817348967988	-3.34771458187942
LOC286367	0.116405447710517	3.40681619717812	2.43393397756289	0.0202644535310954	0.999817348967988	-3.3484279247033
HAPLN3	0.267017448727193	6.53520372482043	2.43063593440701	0.0204218770342785	0.999817348967988	-3.35272205080157
LINC00921 /// TIGD7 /// ZNF263	-0.194351171646804	3.33583032324843	-2.42970169788398	0.0204666722852668	0.999817348967988	-3.35393782020816
FAH	-0.219170777522617	4.70495325457737	-2.42943712685766	0.0204793743129032	0.999817348967988	-3.35428206952939
RP11-131L23.2	-0.139528844099529	2.50178931547401	-2.42545448447176	0.0206714494623306	0.999817348967988	-3.3594614356286
CLEC4E	0.487449744706277	4.8860552963349	2.4240848874467	0.0207378803319873	0.999817348967988	-3.3612414085579
ZNF486	-0.12528588541178	3.08803040777935	-2.41930918865512	0.0209710427896763	0.999817348967988	-3.36744337866927
LINC00934	-0.179851335105129	3.23483987053675	-2.41826246643422	0.0210224640776657	0.999817348967988	-3.36880173226836
C15orf62	-0.131936082329864	3.74491772900098	-2.41805094696652	0.0210328691015887	0.999817348967988	-3.36907618296472
LOC101928278	-0.158384633504754	3.5316185464995	-2.40401055575664	0.0217341025869849	0.999817348967988	-3.38726173343343
SPATA31E1	-0.0973492871104162	3.43393286480173	-2.39304200545507	0.02229661837328	0.999817348967988	-3.40142424441485
LRRC71	-0.189441588623293	4.66282748260985	-2.39227288236386	0.0223365538807318	0.999817348967988	-3.40241586448147
LOC100128922	0.120222861179413	2.42189037223141	2.38557609417762	0.022687026451236	0.999817348967988	-3.4110417921506
LOC100506175	-0.164910919707197	4.78225817589943	-2.37959196368996	0.0230044139526538	0.999817348967988	-3.41873735958228
CDKL2	-0.118835985690597	3.2680858619098	-2.37904265938975	0.0230337488292525	0.999817348967988	-3.41944317419884
CASKIN2	-0.183214680632908	5.33242165460829	-2.37869886708051	0.023052125854564	0.999817348967988	-3.41988487097874
MEIS3	-0.147321615180243	5.38625041086628	-2.37398576879847	0.0233054024640797	0.999817348967988	-3.42593623718969
LINC00853	-0.163812699602307	3.03907422834329	-2.36698913758663	0.0236860447738003	0.999817348967988	-3.43490603268336
DACT1	0.289872062249256	4.80622616314218	2.36333010976015	0.0238873431740524	0.999817348967988	-3.43959051811802
GCSAM	0.254584051751407	3.19132850904347	2.36223959788243	0.0239476356299216	0.999817348967988	-3.44098579172869
RPS27	-0.221945338930972	8.42130118997981	-2.36017282507945	0.0240622818454017	0.999817348967988	-3.44362907523792
C21orf62	-0.109909446998553	4.23533633088202	-2.35947791414702	0.0241009407733504	0.999817348967988	-3.44451750744387
ZC3H7A	0.263433352845463	6.5061090157227	2.35780372036293	0.0241943095795711	0.999817348967988	-3.44665727698235
