logFC	AveExpr	t	P.Value	adj.P.Val	B
CFH	1.25611921198245	4.84551898440439	6.83356995019789	4.36222565794507e-08	0.00102599547474868	8.28971559907355
CXCL6	2.67296324607027	6.43324403824728	6.18667598207832	3.29389392355257e-07	0.00378729899460586	6.47360809806476
IL13RA2	2.06002955259933	5.24494885542781	5.97316605575622	6.44098468470385e-07	0.00378729899460586	5.86858044068875
CFH /// CFHR1	1.38765180433328	6.58217140330457	5.70325796638527	1.50451695043542e-06	0.00448549990825306	5.10171118801084
S100A8	2.06797167111805	7.06932508330767	5.65160466956818	1.76965782772899e-06	0.00462470578979842	4.95483152011303
S100A12	2.56132566209696	5.3861426069359	5.45952952384313	3.23452241671652e-06	0.00674236009386223	4.40871449745227
S100A4	1.29072996148151	8.67833834476356	5.39993658680425	3.89919877893056e-06	0.00674236009386223	4.23937829065223
CMTM2	1.3757329133315	5.12102270192967	5.39073492917754	4.0133095796799e-06	0.00674236009386223	4.2132386703764
MMP1	2.23928143677646	10.527249979711	5.35830253036523	4.44267261104531e-06	0.00696611065411905	4.12112455522022
MNDA	2.43872759088248	6.0220573192364	5.28066394007116	5.66535856124005e-06	0.00776484303697297	3.90075183411454
IL11	1.27221565077474	5.34888665244487	5.25982909372037	6.04698232550141e-06	0.00776484303697297	3.84165116153471
FCGR3B	2.15646240892613	7.20967675878229	5.23574653555136	6.52003851216253e-06	0.00776484303697297	3.77336057531504
FCGR3A /// FCGR3B	2.08684531882633	5.83744369556898	5.18767308256819	7.57712490257285e-06	0.00776484303697297	3.63711852663659
AQP9	2.20769691677518	7.06125657103049	5.16029780701021	8.25344710562603e-06	0.00776484303697297	3.55958735453643
FPR1	1.37792258411517	5.54822439004654	5.12948457059676	9.08664698042514e-06	0.00778068096044067	3.47236798977561
PRKCDBP	1.21832075327705	5.45222777264277	5.11896448912961	9.38982397468076e-06	0.00778068096044067	3.44260248556073
COL4A2	1.12809484795692	7.72502394921253	5.1120838450753	9.5935266944209e-06	0.00778068096044067	3.42313794997943
