logFC	AveExpr	t	P.Value	adj.P.Val	B
S100A8	3.29681971415189	5.79369527292691	9.12829109541969	5.85858864227988e-11	1.37794004866423e-06	14.5912015633125
CXCL8	4.22585502264489	6.84283138062726	8.34715402327588	5.47628145491853e-10	6.44010699098419e-06	12.5487558199317
FCGR3B	3.66139290691113	6.04087711247664	8.0369043215133	1.3577938576178e-09	1.06451038437236e-05	11.7135030861338
HCAR3	4.08531305688895	6.25877047449975	7.85209259603642	2.3441137149736e-09	1.37833886440448e-05	11.2098429657701
G0S2	2.84213762112721	6.656100288459	7.7301350166473	3.36781519931585e-09	1.58422026975818e-05	10.8750772553186
BCL2A1	3.35909540866194	5.71733331235175	7.36974294581449	9.91371976817292e-09	3.43008040213221e-05	9.87526983755646
TNFAIP6	3.12947483346077	4.85535506832735	7.36001812392894	1.02085726253935e-08	3.43008040213221e-05	9.84808268674814
PLEK	2.28496646721599	6.16544613872387	7.10775907302495	2.18991808822822e-08	5.15992617673201e-05	9.13929791556724
CXCL6	3.87265219247956	5.00327944173272	7.1071688891787	2.19384616357654e-08	5.15992617673201e-05	9.13763189361089
TYROBP	2.05759073700309	6.55584579493031	7.01670775030142	2.88833853633542e-08	6.17579294314627e-05	8.88186384769507
MNDA	3.40079433394778	4.92225812522315	6.86102020863449	4.6437378308377e-08	8.51870184965118e-05	8.43986170007663
CHI3L1	2.58477413347909	5.09806279009782	6.85037157111923	4.79734993648287e-08	8.51870184965118e-05	8.40954986470548
SRGN	1.87089145921494	6.77932079912485	6.81439857204889	5.35517552228812e-08	8.51870184965118e-05	8.30707833070397
CSF2RB	2.80183196097429	6.20702798124175	6.80969173543879	5.43284556737958e-08	8.51870184965118e-05	8.29366237149059
CCL3 /// CCL3L1 /// CCL3L3	3.17540154986707	6.01688058139298	6.76084298719465	6.30912021041196e-08	9.02383208317858e-05	8.15431805670673
FCER1G	2.02970831451504	5.81441135463981	6.749993161571	6.52232761114098e-08	9.02383208317858e-05	8.12334134330507
MMP3	4.68892818289445	7.13107431870596	6.70104970303939	7.57801914279996e-08	9.90194501325861e-05	7.98348735788935
MYO1F	1.39887011551489	5.86153745914046	6.60721462754774	1.01077426564889e-07	0.000120596793512193	7.71483585524211
AIF1	1.0025891949185	6.34977318499215	6.60251299845308	1.02548293802885e-07	0.000120596793512193	7.70135765965723
FCGR1A /// FCGR1B /// FCGR1C	1.23017732597277	4.84588180105213	6.56158196208021	1.16298533933109e-07	0.000127708624170025	7.58395309718905
