ONTOLOGY	ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment
BP	GO:0002250	adaptive immune response	454	0.696966020516945	2.741654799969	0.00116009280742459	0.0198637327350199	0.0159747674078054	2986	tags=48%, list=13%, signal=43%	C4BPB/C4BPA/SLAMF7/CSF2RB/IL4I1/CD274/LAIR1/FCER1G/IGLC1/CD40/IGKC/TNFRSF17/MPEG1/C1QB/CXCL13/IGLL5/SIGLEC10/CR2/C1R/C1QA/CTSC/IGHM/PTPRC/STAT3/SERPING1/KLHL6/IL7R/CD84/IGLV1-44/LAMP3/HLA-DMA/ANXA1/ICAM1/TAP1/SAMSN1/CD55/TLR8/FCGR3B/CD86/C1S/BCL6/HLA-E/LILRB1/STAT4/JAK2/LYN/JAK1/C1QC/IL18BP/IL13RA2/NBN/RFTN1/FCAMR/IL6ST/FCGR2B/NFKBIZ/HLA-DOA/CR1/ADA/SWAP70/TAP2/STAT5A/IRF1/PRKCB/TNFSF13B/IGHD/CD27/SASH3/TNFAIP3/FCGR2A/PIK3CG/IL1B/RIPK2/LILRA6/LGALS1/FCGR2C/SH2D1A/CFI/C3/MICB/HLA-DRA/BATF/IL18R1/HLA-DPA1/LILRB4/IRF4/TCIRG1/SLAMF1/BTK/HLA-DOB/CLEC4A/TLR4/LAX1/CD79A/CCR2/CTSH/HLA-DPB1/BTLA/MAD2L2/HAVCR2/CD80/IL12RB1/CLU/EBI3/CD74/LILRB3/BTN3A3/NCKAP1L/BTN3A1/CLEC7A/IL1R1/NOD2/MR1/LAT2/ADCY7/CTSL/CD81/TRBC1/TRAC/LILRB2/IFNG/P2RX7/INPP5D/CLEC4D/JAK3/HPRT1/CD3D/DUSP10/CD3G/IL33/IL4R/HLA-DMB/SLC15A4/DUSP22/C1RL/IL23A/IGLV6-57/MLH1/SLAMF6/LY9/PTPN6/CD19/C2/EXO1/MEF2C/TREM1/AKIRIN2/MALT1/ADAM17/SOCS3/IRF7/FYN/TGFB1/BACH2/ITK/GPR183/IL18RAP/TRAT1/IL6/PIK3CD/CD79B/SEMA4A/MYO1G/PARP3/CD1C/CTLA4/BTN3A2/ARID5A/NFKB2/PDIA3/HFE/LEF1/JAM3/CCR6/EOMES/CSK/AZGP1/RNF19B/HLA-B/TNF/AHR/AICDA/IL12B/CD4/TNFSF13/SKAP1/IL18/IL27RA/NFKBID/IL17RA/IFNE/SIPA1/HLA-G/MSH6/HLA-DQB1/PRDM1/RORA/SIT1/HLA-C/RC3H2/LAG3/CD247/TNFRSF1B/HLX/PRF1/CD69/CCL19/TYK2/CD1E/CD28/IL2RB/TRIM27/RAB27A/ZBTB1/CAMK4/GATA3/CD209/FCER2
BP	GO:0002460	adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains	298	0.711277432166681	2.72263262769679	0.00122100122100122	0.0198637327350199	0.0159747674078054	2986	tags=50%, list=13%, signal=44%	C4BPB/C4BPA/CSF2RB/IL4I1/CD274/FCER1G/IGLC1/CD40/IGKC/C1QB/CXCL13/IGLL5/CR2/C1R/C1QA/CTSC/PTPRC/STAT3/SERPING1/KLHL6/IL7R/ANXA1/ICAM1/CD55/TLR8/FCGR3B/C1S/BCL6/HLA-E/LILRB1/STAT4/JAK2/JAK1/C1QC/IL18BP/IL13RA2/NBN/RFTN1/IL6ST/FCGR2B/NFKBIZ/CR1/ADA/SWAP70/TAP2/STAT5A/TNFSF13B/IGHD/CD27/SASH3/TNFAIP3/FCGR2A/IL1B/RIPK2/LGALS1/FCGR2C/CFI/C3/HLA-DRA/BATF/IL18R1/LILRB4/IRF4/TCIRG1/SLAMF1/BTK/TLR4/CCR2/CTSH/MAD2L2/HAVCR2/CD80/IL12RB1/CLU/EBI3/CD74/BTN3A3/NCKAP1L/CLEC7A/IL1R1/NOD2/MR1/CD81/P2RX7/INPP5D/JAK3/HPRT1/IL33/IL4R/SLC15A4/DUSP22/C1RL/IL23A/MLH1/SLAMF6/LY9/PTPN6/CD19/C2/EXO1/MEF2C/MALT1/ADAM17/SOCS3/IRF7/TGFB1/BACH2/IL6/SEMA4A/MYO1G/PARP3/CD1C/BTN3A2/ARID5A/NFKB2/HFE/LEF1/CCR6/AZGP1/HLA-B/TNF/AHR/AICDA/IL12B/CD4/TNFSF13/IL18/IL27RA/NFKBID/IL17RA/HLA-G/MSH6/RORA/HLA-C/RC3H2/TNFRSF1B/HLX/PRF1/CD69/CCL19/TYK2/CD1E/CD28/IL2RB/RAB27A/ZBTB1/GATA3/FCER2
BP	GO:0002443	leukocyte mediated immunity	376	0.697786451907862	2.71778368535128	0.00118764845605701	0.0198637327350199	0.0159747674078054	2894	tags=44%, list=12%, signal=40%	C4BPB/ITGB2/C4BPA/SLAMF7/CSF2RB/IL4I1/CD274/FCER1G/IGLC1/CD40/IGKC/RAC2/NOS2/C1QB/IGLL5/CR2/C1R/C1QA/CTSC/PTPRC/TYROBP/SERPING1/IL7R/CD84/CXCL6/ICAM1/PTAFR/CD55/TLR8/FCGR3B/C1S/BCL6/HLA-E/LILRB1/LYN/C1QC/IL13RA2/NBN/RFTN1/FCGR2B/SERPINB9/NFKBIZ/CR1/SWAP70/CORO1A/FGR/TAP2/ITGAM/IGHD/CD27/SASH3/FCGR2A/PIK3CG/IL1B/FCGR2C/SH2D1A/CFI/C3/HLA-DRA/BATF/IL18R1/CD300A/LILRB4/TCIRG1/RASGRP1/CD2/SLAMF1/BTK/TLR4/DNASE1L3/CCR2/CTSH/MAD2L2/HAVCR2/PRDX1/TLR9/HCST/CD80/IL12RB1/CLU/SPI1/PTGDS/CD74/BTN3A3/NCKAP1L/CLEC7A/STAP1/IL1R1/NOD2/MR1/LAT2/CD81/MILR1/ANXA3/NDST2/P2RX7/INPP5D/JAK3/HPRT1/BST2/IL4R/SLC15A4/DUSP22/C1RL/IL23A/GZMB/MLH1/SLAMF6/PTPN6/CD19/C2/EXO1/TREM1/MALT1/ADAM17/IRF7/TGFB1/STAT5B/IL18RAP/IL6/SERPINB4/PIK3CD/ARL8B/FCAR/VAV1/MYO1G/PARP3/CD1C/PLCG2/KIT/BTN3A2/ARID5A/TIGIT/STXBP1/HFE/CCR6/AZGP1/GRB2/RNF19B/TUBB/HLA-B/TNF/AHR/AICDA/IL12B/TNFSF13/CADM1/IRAK4/S100A13/CBL/IL18/IL27RA/CRTAM/LYST/HLA-G/MSH6/ARRB2/HLA-C/LAG3/TNFRSF1B/PRF1/CD1E/CD28/IL2RB/STX4/RAB27A/ZBTB1
BP	GO:0002449	lymphocyte mediated immunity	284	0.703964225578508	2.68348962177083	0.001230012300123	0.0198637327350199	0.0159747674078054	2986	tags=47%, list=13%, signal=41%	C4BPB/C4BPA/SLAMF7/CSF2RB/IL4I1/CD274/FCER1G/IGLC1/CD40/IGKC/C1QB/IGLL5/CR2/C1R/C1QA/CTSC/PTPRC/SERPING1/IL7R/ICAM1/CD55/TLR8/FCGR3B/C1S/BCL6/HLA-E/LILRB1/C1QC/IL13RA2/NBN/RFTN1/FCGR2B/SERPINB9/NFKBIZ/CR1/SWAP70/CORO1A/TAP2/IGHD/CD27/SASH3/FCGR2A/IL1B/FCGR2C/SH2D1A/CFI/C3/HLA-DRA/BATF/IL18R1/LILRB4/TCIRG1/RASGRP1/CD2/SLAMF1/BTK/CCR2/CTSH/MAD2L2/HAVCR2/PRDX1/HCST/CD80/IL12RB1/CLU/CD74/BTN3A3/NCKAP1L/IL1R1/NOD2/MR1/CD81/P2RX7/INPP5D/HPRT1/IL4R/SLC15A4/DUSP22/C1RL/IL23A/GZMB/MLH1/SLAMF6/PTPN6/CD19/C2/EXO1/MALT1/IRF7/TGFB1/STAT5B/IL18RAP/IL6/SERPINB4/ARL8B/VAV1/MYO1G/PARP3/CD1C/BTN3A2/ARID5A/TIGIT/HFE/CCR6/AZGP1/GRB2/RNF19B/TUBB/HLA-B/TNF/AHR/AICDA/IL12B/TNFSF13/CADM1/IL18/IL27RA/CRTAM/LYST/HLA-G/MSH6/ARRB2/HLA-C/LAG3/TNFRSF1B/PRF1/CD1E/CD28/IL2RB/RAB27A/ZBTB1/GATA3/FCER2
BP	GO:0070661	leukocyte proliferation	322	0.696358551606037	2.68132219858659	0.00120918984280532	0.0198637327350199	0.0159747674078054	3069	tags=44%, list=13%, signal=39%	IDO1/GPNMB/CSF2RB/IL4I1/CD274/TNFRSF9/CD40/RAC2/CSF1R/CD38/MSN/CR2/PTPRC/TYROBP/IL7R/ANXA1/PLA2G2D/CD55/IL1A/CD86/BCL6/HLA-E/LILRB1/PSMB10/IL2RA/DOCK8/JAK2/MZB1/LYN/RASSF5/AIF1/IL6ST/DOCK2/FCGR2B/NFKBIZ/CR1/ADA/CORO1A/MIF/BTN2A2/VCAM1/IRF1/TNFSF13B/SASH3/TNFAIP3/PIK3CG/IL1B/RIPK2/MNDA/GJA1/HLA-DPA1/CD300A/LILRB4/TCIRG1/RASGRP1/SLAMF1/BTK/TLR4/LST1/CD79A/CCR2/CEBPB/TNFRSF4/HLA-DPB1/HAVCR2/TLR9/MS4A1/GREM1/CD80/IL12RB1/CLU/EBI3/PLA2G2A/CD74/NCKAP1L/BTN3A1/IKZF3/CD81/CD180/BID/LILRB2/P2RX7/PRNP/INPP5D/HPRT1/BST2/IL33/FCRL3/CX3CL1/HLA-DMB/IL23A/CSF2RA/ATM/CNN2/PTPN6/CD19/MEF2C/VSIG4/HHEX/MALT1/GAL/PRKAR1A/FYN/TGFB1/STAT5B/GPR183/NCK1/IL6/CCND3/CTLA4/CBLB/KIT/NDP/NMB/LEF1/GAPT/IL15/SHH/TNFSF8/AHR/IL12B/TNFSF13/CD276/IL18/TGFBR2/CRTAM/CD22/HLA-G/CCDC88B/MAPK1/RC3H2/TNFRSF1B/CCL19/TYK2/CD28/PTPN22/CCL8/TNFSF14/IL7/CD209/PNP/GSTP1/BCL2L1
BP	GO:0016064	immunoglobulin mediated immune response	121	0.763339943161543	2.67326098547336	0.00143061516452074	0.0198637327350199	0.0159747674078054	2199	tags=47%, list=9%, signal=43%	C4BPB/C4BPA/CSF2RB/FCER1G/IGLC1/CD40/IGKC/C1QB/IGLL5/CR2/C1R/C1QA/PTPRC/SERPING1/CD55/TLR8/FCGR3B/C1S/BCL6/HLA-E/C1QC/IL13RA2/NBN/FCGR2B/NFKBIZ/CR1/SWAP70/IGHD/CD27/FCGR2A/FCGR2C/CFI/C3/BATF/TCIRG1/BTK/MAD2L2/CLU/CD74/NOD2/CD81/INPP5D/IL4R/SLC15A4/C1RL/MLH1/PTPN6/CD19/C2/EXO1/IRF7/TGFB1/PARP3/CCR6/TNF/AICDA/TNFSF13
BP	GO:0019724	B cell mediated immunity	124	0.758027668437753	2.66197935486992	0.00142045454545455	0.0198637327350199	0.0159747674078054	2538	tags=48%, list=11%, signal=43%	C4BPB/C4BPA/CSF2RB/FCER1G/IGLC1/CD40/IGKC/C1QB/IGLL5/CR2/C1R/C1QA/PTPRC/SERPING1/CD55/TLR8/FCGR3B/C1S/BCL6/HLA-E/C1QC/IL13RA2/NBN/FCGR2B/NFKBIZ/CR1/SWAP70/IGHD/CD27/FCGR2A/FCGR2C/CFI/C3/BATF/TCIRG1/BTK/MAD2L2/CLU/CD74/NOD2/CD81/INPP5D/IL4R/SLC15A4/C1RL/MLH1/PTPN6/CD19/C2/EXO1/IRF7/TGFB1/PARP3/CCR6/TNF/AICDA/TNFSF13/IL27RA/HLA-G/MSH6
BP	GO:0071222	cellular response to lipopolysaccharide	203	0.722460251832616	2.66110542045328	0.0012970168612192	0.0198637327350199	0.0159747674078054	2877	tags=49%, list=12%, signal=44%	CXCL9/MMP9/MMP3/CXCL5/CD274/CXCL10/CD40/LY96/KMO/NOS2/CXCL13/CXCL8/HCK/CXCL6/PTAFR/CD55/IL1A/CD86/CARD16/LILRB1/GBP2/WNT5A/LY86/JAK2/LYN/LTF/NFKBIZ/TNIP3/MIF/TNFAIP3/IL1B/RIPK2/ASS1/GBP5/CASP1/TLR4/NFKBIA/IRAK2/PDE4B/TLR2/HAVCR2/TLR9/IRAK3/SLC7A5/CD80/NLRP7/VIM/NFKB1/STAP1/ADAM9/TLR5/NOD2/CD180/SBNO2/LILRB2/PF4/ABCA1/CX3CL1/LITAF/PTPN6/CCR5/MEF2C/TIFAB/MALT1/CARD8/TSPO/SIRPA/MMP8/IL6/AXL/FCAR/TNIP2/PLCG2/ARID5A/RHOA/PTGS2/SERPINE1/TNIP1/TNF/MRC1/AICDA/IL12B/CCL2/IRAK4/IL18/CAMP/CSF3/XBP1/PTPN11/CD14/IRF8/IRAK1/RELA/IL24/LILRA2/MTDH/MAPK1/TNFRSF1B/PTPN22/EDNRB
BP	GO:0046651	lymphocyte proliferation	281	0.69842320011193	2.66067366316911	0.00123609394313968	0.0198637327350199	0.0159747674078054	2956	tags=44%, list=13%, signal=39%	IDO1/GPNMB/IL4I1/CD274/TNFRSF9/CD40/RAC2/CD38/MSN/CR2/PTPRC/TYROBP/IL7R/ANXA1/PLA2G2D/CD55/IL1A/CD86/BCL6/HLA-E/LILRB1/PSMB10/IL2RA/DOCK8/JAK2/MZB1/LYN/RASSF5/AIF1/IL6ST/DOCK2/FCGR2B/NFKBIZ/CR1/ADA/CORO1A/MIF/BTN2A2/VCAM1/IRF1/TNFSF13B/SASH3/PIK3CG/IL1B/RIPK2/MNDA/GJA1/HLA-DPA1/CD300A/LILRB4/RASGRP1/SLAMF1/BTK/TLR4/LST1/CD79A/CCR2/CEBPB/TNFRSF4/HLA-DPB1/HAVCR2/TLR9/MS4A1/CD80/IL12RB1/EBI3/PLA2G2A/CD74/NCKAP1L/BTN3A1/IKZF3/CD81/CD180/BID/LILRB2/P2RX7/PRNP/INPP5D/HPRT1/FCRL3/HLA-DMB/IL23A/ATM/PTPN6/CD19/MEF2C/VSIG4/MALT1/GAL/PRKAR1A/FYN/TGFB1/STAT5B/GPR183/NCK1/IL6/CCND3/CTLA4/CBLB/LEF1/GAPT/IL15/SHH/TNFSF8/AHR/IL12B/TNFSF13/CD276/IL18/TGFBR2/CRTAM/CD22/HLA-G/CCDC88B/RC3H2/TNFRSF1B/CCL19/TYK2/CD28/PTPN22/TNFSF14/IL7/CD209
BP	GO:0032943	mononuclear cell proliferation	289	0.693985465185618	2.65581862698331	0.00121654501216545	0.0198637327350199	0.0159747674078054	3388	tags=46%, list=14%, signal=40%	IDO1/GPNMB/IL4I1/CD274/TNFRSF9/CD40/RAC2/CD38/MSN/CR2/PTPRC/TYROBP/IL7R/ANXA1/PLA2G2D/CD55/IL1A/CD86/BCL6/HLA-E/LILRB1/PSMB10/IL2RA/DOCK8/JAK2/MZB1/LYN/RASSF5/AIF1/IL6ST/DOCK2/FCGR2B/NFKBIZ/CR1/ADA/CORO1A/MIF/BTN2A2/VCAM1/IRF1/TNFSF13B/SASH3/PIK3CG/IL1B/RIPK2/MNDA/GJA1/HLA-DPA1/CD300A/LILRB4/RASGRP1/SLAMF1/BTK/TLR4/LST1/CD79A/CCR2/CEBPB/TNFRSF4/HLA-DPB1/HAVCR2/TLR9/MS4A1/CD80/IL12RB1/EBI3/PLA2G2A/CD74/NCKAP1L/BTN3A1/IKZF3/CD81/CD180/BID/LILRB2/P2RX7/PRNP/INPP5D/HPRT1/FCRL3/HLA-DMB/IL23A/ATM/CNN2/PTPN6/CD19/MEF2C/VSIG4/MALT1/GAL/PRKAR1A/FYN/TGFB1/STAT5B/GPR183/NCK1/IL6/CCND3/CTLA4/CBLB/LEF1/GAPT/IL15/SHH/TNFSF8/AHR/IL12B/TNFSF13/CD276/IL18/TGFBR2/CRTAM/CD22/HLA-G/CCDC88B/RC3H2/TNFRSF1B/CCL19/TYK2/CD28/PTPN22/TNFSF14/IL7/CD209/PNP/BCL2L1/PELI1/LRRC32/TBK1/PRKCQ/IGFBP2/FADD/IL12A
