ONTOLOGY	ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment
MF	GO:0140375	immune receptor activity	142	0.798461810093976	2.65564725482825	0.00125156445556946	0.0180085246570605	0.0139995366664104	2114	tags=50%, list=9%, signal=46%	FCGR3B/CSF2RB/FCER1G/FCGR2A/CSF3R/IL18R1/CCR1/FPR1/IL10RA/C5AR1/C3AR1/CXCR2/IL13RA2/LILRB2/FPR3/IL7R/FCGR2B/LILRA2/CTSH/CSF2RA/FPR2/LILRB1/CCR2/IL1R1/IL12RB1/FCGR2C/IL18RAP/LILRA5/LILRB3/IL2RB/CXCR4/IL17RA/CR1/IL15RA/CCR7/CCR5/LILRA6/IL2RA/OSMR/F3/MR1/EBI3/IFNAR2/CD4/CCR6/CD44/IL1RAP/HLA-DPA1/LILRB4/LILRA1/IL21R/FCAR/IL12RB2/LILRA3/HLA-DOA/FZD4/CXCR1/CCR10/HLA-DOB/HLA-DQB1/CD74/IL3RA/KLRF1/CX3CR1/LIFR/IL27RA/IL4R/CMKLR1/C5AR2/ACKR4/HLA-DRA
CC	GO:0062023	collagen-containing extracellular matrix	409	0.738329623620791	2.63715399765298	0.00108813928182807	0.0180085246570605	0.0139995366664104	2177	tags=41%, list=9%, signal=38%	S100A8/MMP2/CTHRC1/S100A9/S100A4/HTRA1/VWF/COL15A1/ADAM19/COL6A3/MGP/LOXL1/COL1A2/COL4A1/VCAN/COL1A1/COL18A1/IGFBP7/COL12A1/SERPINB9/ANGPTL2/LOXL2/C1QB/PXDN/EFEMP2/SERPING1/TIMP1/COL5A2/A2M/SPARCL1/C1QA/COL3A1/TGFBI/LGALS1/LUM/DCN/TGFB1/ICAM1/FCN1/TNC/NID1/SPARC/ADAMTS2/COL6A2/CFP/FBN1/COL8A1/SERPINF1/CTSH/ADAMTS5/COL5A1/FBLN5/AEBP1/ANXA5/NTN1/LAMC1/WNT5A/EFEMP1/THBS2/SDC2/FBLN1/LTBP2/SERPINE1/MXRA5/CLEC14A/MMP9/C1QC/PCOLCE/LAMA4/COL6A1/LAMB2/SULF1/CTSB/COL13A1/MFAP2/EGFL6/ECM1/COL7A1/FCN3/ITIH5/HAPLN3/MMRN2/ANXA6/COL4A2/CXCL12/EMILIN1/SERPINE2/LOX/TIMP2/MMRN1/ANXA1/LAMA5/CCDC80/TPSAB1/MXRA7/BGN/TPSB2/COL14A1/TIMP3/SPOCK1/COL27A1/F3/TGFB1I1/CTSC/ANGPT1/WNT2/F13A1/APOE/DPT/CTSL/ADAMTS1/CPA3/HSPG2/POSTN/CLU/SFRP2/MARCO/GPC6/NDP/PF4/ADAMTS9/GREM1/HMCN1/FBLN2/CDH13/COLEC12/SRPX/LAMC3/LOXL3/WNT2B/PLOD1/ANGPT2/SRPX2/ADAMTS3/TGM2/EGFL7/COL16A1/SERPINH1/MFGE8/CSPG4/MFAP4/COL4A5/SFRP1/EMILIN2/TGFB2/A1BG/ASPN/SDC3/FN1/COL5A3/COL9A3/COL10A1/FBN2/PKM/FGL2/LAMB1/NID2/ACTA2/PSAP/AGT/LRRC15/TGFB3/MEGF9/EGFLAM/LTBP3/ORM1/PTPRZ1/COL8A2
BP	GO:0002250	adaptive immune response	454	0.730728025568121	2.6231802360179	0.001085776330076	0.0180085246570605	0.0139995366664104	2961	tags=47%, list=13%, signal=42%	FCGR3B/CSF2RB/FCER1G/ADA/TNFSF13B/C1R/FCGR2A/TREM1/IL18R1/IL1B/CLEC7A/CD86/C1QB/RFTN1/IL13RA2/LILRB2/SERPING1/MPEG1/LAMP3/CLEC4A/IL6/TLR8/C1QA/LGALS1/TNF/C1S/CD274/TGFB1/ICAM1/LAT2/IL4I1/IL7R/BATF/BCL6/FCGR2B/CTSH/SAMSN1/LAIR1/LILRB1/CCR2/IL1R1/GPR183/IL12RB1/NOD2/KCNJ8/FCGR2C/P2RX7/IGLC1/C1QC/PTPRC/SLAMF7/IL18RAP/IGKC/PIK3CD/CD40/IFNG/MYO1G/SASH3/CD69/LILRB3/IGLV1-44/IL2RB/TCIRG1/STAT5A/JAK3/IGHM/HAVCR2/PIK3CG/ANXA1/FYN/SLC11A1/HLX/IL17RA/IGLL5/CR1/ORAI1/TYK2/SLAMF1/LYN/TNFRSF17/LILRA6/TLR4/LAG3/CD80/DUSP10/IL33/NLRP3/NCKAP1L/KLHL6/RIPK2/MR1/IL18BP/CTSC/BTK/MAD2L2/MICB/EBI3/TNFRSF1B/IRF1/CD4/CCR6/CTSL/TAP1/SOCS3/PTPN6/JAM3/CLU/HLA-DPA1/ARID5A/SIGLEC10/CD81/LILRB4/SLC15A4/TAP2/PRKCB/IGHD/FCRLB/SWAP70/TFE3/BTN3A1/IRF4/ALCAM/CD27/IRF7/CD70/CSK/STAT4/CFI/LILRA1/AHR/CD55/SIPA1/LOXL3/PKN1/LILRA3/HLA-DOA/INPP5D/HLA-E/HLA-DPB1/LAX1/CXCL13/HLA-DMA/CD84/SEMA4A/HLA-DOB/ZAP70/CD247/BTN3A3/EOMES/HLA-DQB1/IL23A/CTLA4/CD74/RORA/IGHV1-69/CLEC4D/KDM5D/TNFAIP3/C4BPB/CX3CR1/TRAT1/C3/NFKB2/TRBC1/WAS/IL27RA/LY9/PRF1/NFKBID/CD79A/C2/IL17A/BTN3A2/TBX21/CD3D/HLA-DMB/IL4R/TNFSF13/CD19/PDCD1LG2/IGLV6-57/HLA-DRA/GATA3/NFKBIZ/LEF1/IL12B/TRAC/MEF2C/IL10/ITK/CLEC10A/NBN/CD7/PLA2G4A/CD28/RAPGEF4/HLA-DQA1/AZGP1/SH2D1A/JAK2/CD8B/JAK1/TNFSF4/C9/ADCY7/TNFRSF13B/RNF19B/RAPGEF3/TXK/TRDV3/CTNNBL1/SLAMF6/TNFRSF14/DUSP22/BTLA
BP	GO:0002460	adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains	298	0.738440347383924	2.58946910328437	0.00113250283125708	0.0180085246570605	0.0139995366664104	2526	tags=44%, list=11%, signal=40%	FCGR3B/CSF2RB/FCER1G/ADA/TNFSF13B/C1R/FCGR2A/IL18R1/IL1B/CLEC7A/C1QB/RFTN1/IL13RA2/SERPING1/IL6/TLR8/C1QA/LGALS1/TNF/C1S/CD274/TGFB1/ICAM1/IL4I1/IL7R/BATF/BCL6/FCGR2B/CTSH/LILRB1/CCR2/IL1R1/IL12RB1/NOD2/FCGR2C/P2RX7/IGLC1/C1QC/PTPRC/IGKC/CD40/MYO1G/SASH3/CD69/IL2RB/TCIRG1/STAT5A/JAK3/HAVCR2/ANXA1/SLC11A1/HLX/IL17RA/IGLL5/CR1/TYK2/SLAMF1/TLR4/CD80/IL33/NLRP3/NCKAP1L/KLHL6/RIPK2/MR1/IL18BP/CTSC/BTK/MAD2L2/EBI3/TNFRSF1B/CD4/CCR6/SOCS3/PTPN6/CLU/ARID5A/CD81/LILRB4/SLC15A4/TAP2/IGHD/FCRLB/SWAP70/IRF4/CD27/IRF7/CD70/STAT4/CFI/AHR/CD55/LOXL3/PKN1/INPP5D/HLA-E/CXCL13/SEMA4A/BTN3A3/IL23A/CD74/RORA/IGHV1-69/KDM5D/TNFAIP3/C4BPB/C3/NFKB2/WAS/IL27RA/LY9/PRF1/NFKBID/C2/BTN3A2/TBX21/IL4R/TNFSF13/CD19/HLA-DRA/GATA3/NFKBIZ/LEF1/IL12B/MEF2C/IL10/NBN/CD7/PLA2G4A/CD28/AZGP1/JAK2
BP	GO:0097530	granulocyte migration	140	0.779337830308966	2.58867543117597	0.00125470514429109	0.0180085246570605	0.0139995366664104	2157	tags=45%, list=9%, signal=41%	S100A8/CXCL8/TNFAIP6/CXCL6/FCER1G/CCL11/CCL4/S100A9/CXCL10/CSF1R/CD300A/CSF3R/SLAMF8/TREM1/ITGB2/IL1B/CXCL9/C5AR1/C3AR1/CXCR2/PECAM1/CCL8/CCL2/S100A12/PDE4B/PREX1/IL1R1/ADAM8/NOD2/CXCL5/PIK3CD/IL1A/PIK3CG/ANXA1/RAC2/IL17RA/SLAMF1/CCR7/PPBP/CX3CL1/NCKAP1L/VAV1/ITGA9/JAM3/CD99L2/CCL7/PF4/CCL22/PIP5K1C/CXCR1/CXCL13/SLIT2/CKLF/IL23A/TGFB2/CD74/PF4V1/CCL13/IL17A/LBP/CMKLR1/C5AR2/ITGA1
MF	GO:0005201	extracellular matrix structural constituent	161	0.768834150512687	2.57852767983928	0.00123762376237624	0.0180085246570605	0.0139995366664104	2035	tags=47%, list=9%, signal=43%	CHI3L1/CTHRC1/VWF/COL15A1/COL6A3/MGP/COL1A2/TFPI2/COL4A1/VCAN/COL1A1/COL18A1/IGFBP7/COL12A1/PXDN/EFEMP2/COL5A2/COL3A1/TGFBI/LUM/DCN/TNC/NID1/SPARC/COL6A2/FBN1/COL8A1/COL5A1/FBLN5/AEBP1/LAMC1/EFEMP1/THBS2/FBLN1/LTBP2/MXRA5/PCOLCE/LAMA4/COL6A1/LAMB2/COL13A1/MFAP2/ECM1/COL7A1/MMRN2/COL4A2/EMILIN1/MMRN1/LAMA5/BGN/COL14A1/SPOCK1/COL27A1/CD4/DPT/HSPG2/POSTN/HMCN1/FBLN2/SRPX/SRPX2/COL16A1/MFGE8/MFAP4/COL4A5/EMILIN2/ASPN/FN1/COL5A3/COL9A3/COL10A1/FBN2/FGL2/LAMB1/NID2
BP	GO:0002274	myeloid leukocyte activation	224	0.75072236880095	2.57424614115569	0.00117370892018779	0.0180085246570605	0.0139995366664104	2632	tags=49%, list=11%, signal=44%	CXCL8/CXCL6/TYROBP/FCER1G/AIF1/LCP2/CD300A/FGR/ITGB2/CD93/C5AR1/SPHK1/CXCR2/IL13RA2/IL6/C1QA/TNF/TGFB1/LAT2/CST7/TLR2/S100A12/VSIG4/PTAFR/BATF/FCGR2B/TLR1/LILRA2/PREX1/CCR2/CD300LF/WNT5A/KCNJ8/PTGDS/PTPRC/IL18RAP/PIK3CD/BATF3/IFNG/DYSF/CALHM2/LRRK2/TGFBR2/DOCK2/STXBP1/ITGAM/HAVCR2/RHOH/PIK3CG/FOXF1/ANXA1/RAC2/SLC11A1/SLAMF1/LYN/TLR4/CSF2/CX3CL1/IL33/CTSC/BTK/SYT11/FES/SNCA/PTPN6/PLCG2/NR4A3/SPI1/TLR6/CLU/GPR137B/PRAM1/RASGRP1/LILRB4/SUCNR1/IRF4/FCAR/HYAL2/MIR142/TMEM106A/CLEC12A/CD84/ATM/CD2/CD74/RORA/FN1/CLEC4D/MILR1/CX3CR1/CAMP/IL4R/LBP/RBPJ/LRFN5/STAP1/CD33/IL10/CBL/NMI/BATF2/SBNO2/CCL5/PLA2G4A/TSLP/JAK2/IFI35/GATA2/CD200
BP	GO:0002698	negative regulation of immune effector process	129	0.772918690253784	2.56435656627621	0.00126262626262626	0.0180085246570605	0.0139995366664104	2452	tags=47%, list=10%, signal=42%	CD300A/SLAMF8/SERPINB9/IL13RA2/SERPING1/A2M/LGALS1/TNF/CD274/TGFB1/IL4I1/IL7R/VSIG4/BCL6/FCGR2B/LILRB1/CCR2/NOD2/PTPRC/TWIST1/CD69/AXL/BST2/STAT5A/JAK3/HAVCR2/FOXF1/ANXA1/HLX/CR1/SLAMF1/ACP5/ARRB2/CD80/DUSP10/IL33/NCKAP1L/MASP1/ANGPT1/PTPN6/SPI1/LILRB4/AHR/CD55/IRAK3/LOXL3/INPP5D/HLA-E/CD84/TGFB2/C4BPB/CX3CR1/FGL2/TBX21/IL4R/CUEDC2/TGFB3/IL10/PGLYRP1/FCRL3
BP	GO:0060326	cell chemotaxis	284	0.73447533937168	2.56164799100389	0.00114285714285714	0.0180085246570605	0.0139995366664104	2754	tags=45%, list=12%, signal=40%	S100A8/CXCL8/TNFAIP6/MMP2/CXCL6/FCER1G/AIF1/CCL11/CCL4/CXCL11/S100A9/CXCL10/CSF1R/CSF3R/SLAMF8/PDGFRA/TREM1/CCR1/ITGB2/NINJ1/IL1B/CXCL9/C5AR1/NRP1/C3AR1/CXCR2/ENG/IL6/CCL8/CCL2/S100A12/CCL18/PDE4B/FPR2/PREX1/PLA2G7/CCR2/WNT5A/GPR183/ADAM8/NOD2/SERPINE1/CXCL5/FFAR2/PIK3CD/VCAM1/VEGFC/HGF/CXCR4/CXCL12/LOX/PDGFRB/PIK3CG/GPSM3/ANXA1/RAC2/IL17RA/CORO1A/EDNRB/SLAMF1/LYN/PRKD1/CCR7/CCR5/ARRB2/PPBP/ABCC1/KDR/CX3CL1/NCKAP1L/VAV1/FGF2/S1PR1/CCR6/ITGA9/LYST/JAM3/FLT1/CCL7/EGR3/SWAP70/PF4/RAB13/GREM1/CCL22/CXCL16/PIP5K1C/MIR34A/TNFSF14/CXCR1/TNFSF11/CYP7B1/CH25H/CCR10/CXCL13/DOCK4/SLIT2/RHOG/CKLF/IL23A/TGFB2/CD74/PF4V1/TRPM2/CCL13/FGFR1/CX3CR1/BIN2/ALOX5/LBP/CMKLR1/C5AR2/ACKR4/STAP1/ITGA1/LEF1/IL10/CCL5/ELMO2/PDGFB/ACKR3/GPR18/ZNF580/CXCL3/MOSPD2/RIN3/CXCL14/IL16
BP	GO:0030595	leukocyte chemotaxis	210	0.751963268837116	2.55891178621316	0.001194743130227	0.0180085246570605	0.0139995366664104	2157	tags=44%, list=9%, signal=41%	S100A8/CXCL8/TNFAIP6/MMP2/CXCL6/FCER1G/AIF1/CCL11/CCL4/CXCL11/S100A9/CXCL10/CSF1R/CSF3R/SLAMF8/TREM1/CCR1/ITGB2/NINJ1/IL1B/CXCL9/C5AR1/C3AR1/CXCR2/IL6/CCL8/CCL2/S100A12/PDE4B/FPR2/PREX1/PLA2G7/CCR2/WNT5A/GPR183/ADAM8/NOD2/SERPINE1/CXCL5/FFAR2/PIK3CD/VEGFC/CXCR4/CXCL12/PIK3CG/GPSM3/ANXA1/RAC2/IL17RA/CORO1A/EDNRB/SLAMF1/LYN/CCR7/CCR5/PPBP/CX3CL1/NCKAP1L/VAV1/S1PR1/CCR6/ITGA9/LYST/JAM3/FLT1/CCL7/SWAP70/PF4/GREM1/CCL22/CXCL16/PIP5K1C/TNFSF14/CXCR1/TNFSF11/CYP7B1/CH25H/CXCL13/SLIT2/CKLF/IL23A/TGFB2/CD74/PF4V1/TRPM2/CCL13/CX3CR1/ALOX5/LBP/CMKLR1/C5AR2/STAP1/ITGA1
