ID	Description
GO:0030595	leukocyte chemotaxis
GO:0002237	response to molecule of bacterial origin
GO:0030593	neutrophil chemotaxis
GO:0071219	cellular response to molecule of bacterial origin
GO:0031349	positive regulation of defense response
GO:0071222	cellular response to lipopolysaccharide
GO:0071216	cellular response to biotic stimulus
GO:0032496	response to lipopolysaccharide
GO:1990266	neutrophil migration
GO:0060326	cell chemotaxis
GO:0050900	leukocyte migration
GO:0050727	regulation of inflammatory response
GO:0032757	positive regulation of interleukin-8 production
GO:0001819	positive regulation of cytokine production
GO:0097529	myeloid leukocyte migration
GO:0006935	chemotaxis
GO:0042330	taxis
GO:0071621	granulocyte chemotaxis
GO:0050729	positive regulation of inflammatory response
GO:0002274	myeloid leukocyte activation
GO:0032637	interleukin-8 production
GO:0032677	regulation of interleukin-8 production
GO:0019221	cytokine-mediated signaling pathway
GO:0097530	granulocyte migration
GO:0002768	immune response-regulating cell surface receptor signaling pathway
GO:0032755	positive regulation of interleukin-6 production
GO:0042742	defense response to bacterium
GO:0002757	immune response-activating signaling pathway
GO:0045089	positive regulation of innate immune response
GO:0032635	interleukin-6 production
GO:0032675	regulation of interleukin-6 production
GO:0045088	regulation of innate immune response
GO:0002833	positive regulation of response to biotic stimulus
GO:0002429	immune response-activating cell surface receptor signaling pathway
GO:0002675	positive regulation of acute inflammatory response
GO:0002218	activation of innate immune response
GO:0032640	tumor necrosis factor production
GO:0032680	regulation of tumor necrosis factor production
GO:0002221	pattern recognition receptor signaling pathway
GO:0071706	tumor necrosis factor superfamily cytokine production
GO:1903555	regulation of tumor necrosis factor superfamily cytokine production
GO:0002758	innate immune response-activating signaling pathway
GO:0042116	macrophage activation
GO:0014002	astrocyte development
GO:0032760	positive regulation of tumor necrosis factor production
GO:0002526	acute inflammatory response
GO:0032722	positive regulation of chemokine production
GO:0042119	neutrophil activation
GO:0002673	regulation of acute inflammatory response
GO:1903557	positive regulation of tumor necrosis factor superfamily cytokine production
GO:0002752	cell surface pattern recognition receptor signaling pathway
GO:0150076	neuroinflammatory response
GO:0036230	granulocyte activation
GO:0061900	glial cell activation
GO:0002430	complement receptor mediated signaling pathway
GO:0002688	regulation of leukocyte chemotaxis
GO:0051092	positive regulation of NF-kappaB transcription factor activity
GO:0002367	cytokine production involved in immune response
GO:0032731	positive regulation of interleukin-1 beta production
GO:0002697	regulation of immune effector process
GO:0002220	innate immune response activating cell surface receptor signaling pathway
GO:0032611	interleukin-1 beta production
GO:0032651	regulation of interleukin-1 beta production
GO:0038094	Fc-gamma receptor signaling pathway
GO:0051770	positive regulation of nitric-oxide synthase biosynthetic process
GO:0002690	positive regulation of leukocyte chemotaxis
GO:0032602	chemokine production
GO:0032642	regulation of chemokine production
GO:0036005	response to macrophage colony-stimulating factor
