"","GSM307886","GSM307887","GSM307888","GSM307889","GSM307890","GSM307891","GSM307892","GSM307893","GSM307894","GSM307895","GSM307896","GSM307897","GSM307898","GSM307899","GSM307900","GSM307901","GSM307902","GSM307903","GSM307904","GSM307905","GSM307906","GSM307907","GSM307908"
"ACTB",13.7394579716959,13.7218340355988,13.9414931714448,13.8470265794402,13.7310516371139,13.9768089024774,13.9961278701186,13.9519680604575,13.8117641465895,13.671466522817,13.8077219281675,13.7518954992314,13.879871798079,13.9013115548757,13.7628209883384,13.6526551165344,13.8452747067391,13.8044960141868,13.8459053735626,13.8627669931727,13.9618881779763,13.6573593498979,13.9135691368019
"CXCL8",10.3653873609416,10.3288236419388,9.04299998569282,10.0160921556886,10.0336327275947,13.0890244236127,12.4636264331425,12.0138870545203,10.1828680913117,8.83768290934852,6.76696494412619,10.2955793049428,13.0350676926642,10.0656645157612,9.80558597010279,13.1983527656581,13.6920952550221,10.4064860543294,13.3816853719003,10.2555720729218,10.9953760111268,8.86071578650608,11.2733173441545
"FCGR3B",8.44659243928912,9.69562803750451,7.97228342353069,9.57715055944488,10.411853773424,12.0577704655408,10.439315697095,10.8684852112942,9.2442430424291,8.88014223037405,5.98685976352271,9.03994420416574,11.8390389619876,8.48826584961041,9.63973076391208,11.8619231060069,12.5602002438554,9.76205414101455,11.7705609294057,10.3303153790342,10.1862421689185,7.48920111755112,9.90555422819787
"IL1B",9.69537615374459,11.1408793022433,9.04519070923358,10.1728132052513,10.1100261333567,12.6156065862257,11.3168061685853,11.7916375349158,10.4441420109271,9.52244504811003,8.61650521227294,9.83792490189434,12.9427903104525,9.73969267210583,10.0963016474794,12.6520394505547,13.8508087062584,10.8629197663016,12.9581056504834,10.5321679200314,11.486176167771,10.0083565074429,11.6274114730098
"IL6",7.05068977275043,7.92535243301969,6.84209636941957,6.62694790462234,6.72787341423111,8.75696934503114,6.85130969451849,8.11555472302274,6.77321913728234,6.65156989686543,5.5925341583323,7.23605265126996,11.5703770667567,6.73411031516357,6.08070987822385,10.7558295914811,10.6794169139828,7.03429258107369,9.64592892898475,6.96255103463878,7.08310215377633,6.42739365837325,7.92273110357904
"ITGAM",7.20132189324088,7.66996283224234,7.44882586890991,7.31991015748966,7.23245969849372,9.37317643937613,7.86076174345929,8.53175884087509,6.65822649945955,7.28174901632286,6.26775838519424,7.89716399794096,9.77166688057105,7.60368849791847,7.40858591829816,8.69135426501989,9.55987055860434,7.8854304264764,9.60071774434573,7.73855278391222,8.89230660448182,7.03668388559487,7.54086367977638
"PTGS2",6.39484186453602,6.80997668215988,6.16794761920542,6.79360487487043,7.00765302527743,10.7175701257123,8.711377902076,8.89438839388584,6.31971419079109,6.03956235715245,5.71574482954809,7.02119570488995,11.1111143944139,6.39651101333046,6.4926635734087,11.1853785163642,11.3087173091605,8.72005521011489,10.7678034993919,7.84538026978729,7.44010690486692,7.5207286364495,7.72904374673451
"S100A12",7.68528177595601,9.87726926389338,5.21267939961813,8.44582526536134,7.19001098251273,11.7814788937592,9.96938042589217,11.2046177632748,5.6176729041304,6.34236464023018,4.98453518483962,6.73722990851666,11.3644847978438,6.00627527979862,6.08450048609638,10.5704511756388,11.0013611138086,7.28721733150033,11.8043667241269,7.47929094025834,11.0569271996276,5.43000892535029,7.94745517905227
"TLR2",7.47105831257554,8.59327052825617,7.29150620435853,7.665906722865,7.55846006954421,9.14173890395388,8.70458101798113,9.231634471121,7.26254085023368,7.37958524792756,6.78480855089371,7.52345040340812,9.67319079860719,7.29096067613069,7.80874578873446,8.89317095810869,10.8755436745252,7.95630516354157,9.31074413857277,7.90075477349003,8.65562414873116,7.00654464654525,8.02970957458222
"TLR4",5.94881954180058,6.58244693493142,6.01875200344478,5.93277077404775,5.7910579450269,7.76179396762315,7.4872758931252,7.8753744347147,5.88387872901116,6.30043673948535,6.61423335590746,6.27590141616694,7.64622315828822,6.07969657694308,6.36696921869486,6.76519160805992,8.85957130432268,6.36217481822346,7.4209590080266,6.38318847626924,7.03363406150877,5.6121996078,7.01309399661655
"TLR8",6.39369494503435,6.83616855678747,6.12554794992533,6.78257192054953,6.66385315297636,8.21783291220392,6.91704954352951,7.7433886850298,6.37441959045063,6.60394709203526,5.87480572105298,6.15194695598271,8.63535356617452,6.73222627651531,6.44592685505131,7.87621340832506,8.94951316419951,7.20188890665621,8.06816970261275,6.68531974383438,7.81724828410618,5.8975594635161,6.81818648679425
