ID	Description
GO:0019221	cytokine-mediated signaling pathway
GO:0001819	positive regulation of cytokine production
GO:0050900	leukocyte migration
GO:0006935	chemotaxis
GO:0042330	taxis
GO:0060326	cell chemotaxis
GO:0002237	response to molecule of bacterial origin
GO:0002274	myeloid leukocyte activation
GO:0050727	regulation of inflammatory response
GO:0032496	response to lipopolysaccharide
GO:0030595	leukocyte chemotaxis
GO:0071216	cellular response to biotic stimulus
GO:0071219	cellular response to molecule of bacterial origin
GO:0097529	myeloid leukocyte migration
GO:0071222	cellular response to lipopolysaccharide
GO:0002250	adaptive immune response
GO:0002683	negative regulation of immune system process
GO:0007159	leukocyte cell-cell adhesion
GO:0002697	regulation of immune effector process
GO:0031349	positive regulation of defense response
GO:0050729	positive regulation of inflammatory response
GO:0002460	adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains
GO:0097530	granulocyte migration
GO:0042116	macrophage activation
GO:0002685	regulation of leukocyte migration
GO:0071621	granulocyte chemotaxis
GO:0051249	regulation of lymphocyte activation
GO:0002757	immune response-activating signaling pathway
GO:0002443	leukocyte mediated immunity
GO:0002366	leukocyte activation involved in immune response
GO:1903131	mononuclear cell differentiation
GO:0071706	tumor necrosis factor superfamily cytokine production
GO:1903555	regulation of tumor necrosis factor superfamily cytokine production
GO:0002263	cell activation involved in immune response
GO:1903706	regulation of hemopoiesis
GO:0050867	positive regulation of cell activation
GO:0022407	regulation of cell-cell adhesion
GO:0022409	positive regulation of cell-cell adhesion
GO:1903557	positive regulation of tumor necrosis factor superfamily cytokine production
GO:0006909	phagocytosis
GO:1903037	regulation of leukocyte cell-cell adhesion
GO:1902105	regulation of leukocyte differentiation
GO:0045088	regulation of innate immune response
GO:1903039	positive regulation of leukocyte cell-cell adhesion
GO:0009615	response to virus
GO:0032635	interleukin-6 production
GO:0032675	regulation of interleukin-6 production
GO:0030198	extracellular matrix organization
GO:0030099	myeloid cell differentiation
GO:0043062	extracellular structure organization
GO:0045229	external encapsulating structure organization
GO:1990266	neutrophil migration
GO:0002696	positive regulation of leukocyte activation
GO:0045785	positive regulation of cell adhesion
GO:0032102	negative regulation of response to external stimulus
GO:0030593	neutrophil chemotaxis
GO:0002768	immune response-regulating cell surface receptor signaling pathway
GO:0034341	response to type II interferon
GO:0032640	tumor necrosis factor production
GO:0032680	regulation of tumor necrosis factor production
GO:0032760	positive regulation of tumor necrosis factor production
GO:0032611	interleukin-1 beta production
GO:0032651	regulation of interleukin-1 beta production
GO:0002573	myeloid leukocyte differentiation
GO:0071674	mononuclear cell migration
GO:0050863	regulation of T cell activation
GO:0032731	positive regulation of interleukin-1 beta production
GO:0001818	negative regulation of cytokine production
GO:0032612	interleukin-1 production
GO:0032652	regulation of interleukin-1 production
GO:0070661	leukocyte proliferation
GO:0002819	regulation of adaptive immune response
GO:0002703	regulation of leukocyte mediated immunity
GO:0150076	neuroinflammatory response
GO:0045089	positive regulation of innate immune response
GO:0042742	defense response to bacterium
GO:1990868	response to chemokine
GO:1990869	cellular response to chemokine
GO:0002758	innate immune response-activating signaling pathway
GO:0050777	negative regulation of immune response
GO:0002822	regulation of adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains
GO:0002429	immune response-activating cell surface receptor signaling pathway
GO:0002699	positive regulation of immune effector process
GO:0046631	alpha-beta T cell activation
GO:0002218	activation of innate immune response
GO:0002695	negative regulation of leukocyte activation
GO:0032963	collagen metabolic process
GO:0002833	positive regulation of response to biotic stimulus
GO:0051607	defense response to virus
GO:0007249	canonical NF-kappaB signal transduction
GO:0050866	negative regulation of cell activation
GO:0042119	neutrophil activation
GO:0032755	positive regulation of interleukin-6 production
GO:0036230	granulocyte activation
GO:0002275	myeloid cell activation involved in immune response
GO:0031348	negative regulation of defense response
GO:0002698	negative regulation of immune effector process
GO:0070663	regulation of leukocyte proliferation
GO:0002221	pattern recognition receptor signaling pathway
GO:0032732	positive regulation of interleukin-1 production
GO:0050870	positive regulation of T cell activation
GO:0002687	positive regulation of leukocyte migration
GO:0002688	regulation of leukocyte chemotaxis
GO:0070098	chemokine-mediated signaling pathway
GO:0030217	T cell differentiation
GO:0061900	glial cell activation
GO:0051251	positive regulation of lymphocyte activation
GO:0030098	lymphocyte differentiation
GO:0032602	chemokine production
GO:0032642	regulation of chemokine production
GO:0001774	microglial cell activation
GO:0050764	regulation of phagocytosis
GO:0002449	lymphocyte mediated immunity
GO:0046651	lymphocyte proliferation
GO:0032943	mononuclear cell proliferation
GO:0051250	negative regulation of lymphocyte activation
GO:0002440	production of molecular mediator of immune response
GO:0032722	positive regulation of chemokine production
GO:0001906	cell killing
GO:0002367	cytokine production involved in immune response
GO:0001934	positive regulation of protein phosphorylation
GO:1901342	regulation of vasculature development
GO:0002269	leukocyte activation involved in inflammatory response
GO:0042088	T-helper 1 type immune response
GO:0032637	interleukin-8 production
GO:0032677	regulation of interleukin-8 production
GO:0002548	monocyte chemotaxis
GO:0043122	regulation of canonical NF-kappaB signal transduction
GO:0002718	regulation of cytokine production involved in immune response
GO:0032609	type II interferon production
GO:0032649	regulation of type II interferon production
GO:0046634	regulation of alpha-beta T cell activation
GO:0002700	regulation of production of molecular mediator of immune response
GO:0050728	negative regulation of inflammatory response
GO:0042327	positive regulation of phosphorylation
GO:0032944	regulation of mononuclear cell proliferation
GO:0045637	regulation of myeloid cell differentiation
GO:0045765	regulation of angiogenesis
GO:0071346	cellular response to type II interferon
GO:1902107	positive regulation of leukocyte differentiation
GO:1903708	positive regulation of hemopoiesis
GO:0050670	regulation of lymphocyte proliferation
GO:0030316	osteoclast differentiation
GO:0010562	positive regulation of phosphorus metabolic process
GO:0045937	positive regulation of phosphate metabolic process
GO:0002286	T cell activation involved in immune response
GO:0002292	T cell differentiation involved in immune response
GO:0035710	CD4-positive, alpha-beta T cell activation
GO:0002444	myeloid leukocyte mediated immunity
GO:0042060	wound healing
GO:0045619	regulation of lymphocyte differentiation
GO:0043123	positive regulation of canonical NF-kappaB signal transduction
GO:0070664	negative regulation of leukocyte proliferation
GO:0018212	peptidyl-tyrosine modification
GO:0050920	regulation of chemotaxis
GO:0030100	regulation of endocytosis
GO:0001503	ossification
GO:0097696	cell surface receptor signaling pathway via STAT
GO:0034612	response to tumor necrosis factor
GO:0042098	T cell proliferation
GO:0002532	production of molecular mediator involved in inflammatory response
GO:0046632	alpha-beta T cell differentiation
GO:0018108	peptidyl-tyrosine phosphorylation
GO:0048661	positive regulation of smooth muscle cell proliferation
GO:0002690	positive regulation of leukocyte chemotaxis
GO:0002281	macrophage activation involved in immune response
GO:0045807	positive regulation of endocytosis
GO:0032757	positive regulation of interleukin-8 production
GO:0002761	regulation of myeloid leukocyte differentiation
GO:0002220	innate immune response activating cell surface receptor signaling pathway
GO:0006968	cellular defense response
GO:0007259	cell surface receptor signaling pathway via JAK-STAT
GO:0033002	muscle cell proliferation
GO:0032615	interleukin-12 production
GO:0032655	regulation of interleukin-12 production
GO:2001233	regulation of apoptotic signaling pathway
GO:0002704	negative regulation of leukocyte mediated immunity
GO:0002752	cell surface pattern recognition receptor signaling pathway
GO:0006959	humoral immune response
GO:0002886	regulation of myeloid leukocyte mediated immunity
GO:0042129	regulation of T cell proliferation
GO:1904018	positive regulation of vasculature development
GO:0010720	positive regulation of cell development
GO:0050921	positive regulation of chemotaxis
GO:0002825	regulation of T-helper 1 type immune response
GO:0030574	collagen catabolic process
GO:0043367	CD4-positive, alpha-beta T cell differentiation
GO:0032945	negative regulation of mononuclear cell proliferation
GO:0097191	extrinsic apoptotic signaling pathway
GO:0050766	positive regulation of phagocytosis
GO:0071675	regulation of mononuclear cell migration
GO:0002285	lymphocyte activation involved in immune response
GO:0060759	regulation of response to cytokine stimulus
GO:0002294	CD4-positive, alpha-beta T cell differentiation involved in immune response
GO:0071356	cellular response to tumor necrosis factor
GO:0043410	positive regulation of MAPK cascade
GO:0030199	collagen fibril organization
GO:0002287	alpha-beta T cell activation involved in immune response
GO:0002293	alpha-beta T cell differentiation involved in immune response
GO:0002702	positive regulation of production of molecular mediator of immune response
GO:0022617	extracellular matrix disassembly
GO:2000514	regulation of CD4-positive, alpha-beta T cell activation
GO:0002456	T cell mediated immunity
GO:0032623	interleukin-2 production
GO:0032663	regulation of interleukin-2 production
GO:0140895	cell surface toll-like receptor signaling pathway
GO:0045580	regulation of T cell differentiation
GO:0050672	negative regulation of lymphocyte proliferation
GO:0050730	regulation of peptidyl-tyrosine phosphorylation
GO:0045621	positive regulation of lymphocyte differentiation
GO:0007162	negative regulation of cell adhesion
GO:0050830	defense response to Gram-positive bacterium
GO:0042093	T-helper cell differentiation
GO:0060627	regulation of vesicle-mediated transport
GO:0072593	reactive oxygen species metabolic process
GO:0032695	negative regulation of interleukin-12 production
GO:0045766	positive regulation of angiogenesis
GO:0050864	regulation of B cell activation
GO:0002720	positive regulation of cytokine production involved in immune response
GO:0002526	acute inflammatory response
GO:0051770	positive regulation of nitric-oxide synthase biosynthetic process
GO:0002709	regulation of T cell mediated immunity
GO:0019722	calcium-mediated signaling
GO:0038061	non-canonical NF-kappaB signal transduction
GO:0071347	cellular response to interleukin-1
GO:0050868	negative regulation of T cell activation
GO:0090594	inflammatory response to wounding
GO:0043370	regulation of CD4-positive, alpha-beta T cell differentiation
GO:0050731	positive regulation of peptidyl-tyrosine phosphorylation
GO:0046637	regulation of alpha-beta T cell differentiation
GO:0001959	regulation of cytokine-mediated signaling pathway
GO:0038094	Fc-gamma receptor signaling pathway
GO:0031341	regulation of cell killing
GO:0043086	negative regulation of catalytic activity
GO:0090025	regulation of monocyte chemotaxis
GO:0002523	leukocyte migration involved in inflammatory response
GO:0043030	regulation of macrophage activation
GO:0032729	positive regulation of type II interferon production
GO:0043300	regulation of leukocyte degranulation
GO:0006022	aminoglycan metabolic process
GO:0070555	response to interleukin-1
GO:0002706	regulation of lymphocyte mediated immunity
GO:0051897	positive regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction
GO:0045582	positive regulation of T cell differentiation
GO:0062207	regulation of pattern recognition receptor signaling pathway
GO:0009612	response to mechanical stimulus
GO:0051767	nitric-oxide synthase biosynthetic process
GO:0051769	regulation of nitric-oxide synthase biosynthetic process
GO:0045428	regulation of nitric oxide biosynthetic process
GO:0048659	smooth muscle cell proliferation
GO:0002824	positive regulation of adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains
GO:0031663	lipopolysaccharide-mediated signaling pathway
GO:0080164	regulation of nitric oxide metabolic process
GO:0045622	regulation of T-helper cell differentiation
GO:0030225	macrophage differentiation
GO:0006809	nitric oxide biosynthetic process
GO:0014002	astrocyte development
GO:0007599	hemostasis
GO:0046209	nitric oxide metabolic process
GO:0008360	regulation of cell shape
GO:1902106	negative regulation of leukocyte differentiation
GO:0002827	positive regulation of T-helper 1 type immune response
GO:0048660	regulation of smooth muscle cell proliferation
GO:0050673	epithelial cell proliferation
GO:0071887	leukocyte apoptotic process
GO:0070269	pyroptotic inflammatory response
GO:0022408	negative regulation of cell-cell adhesion
GO:0010721	negative regulation of cell development
GO:2000377	regulation of reactive oxygen species metabolic process
GO:0052547	regulation of peptidase activity
GO:1903038	negative regulation of leukocyte cell-cell adhesion
GO:0061082	myeloid leukocyte cytokine production
GO:1904645	response to amyloid-beta
GO:2001057	reactive nitrogen species metabolic process
GO:0046635	positive regulation of alpha-beta T cell activation
GO:0070665	positive regulation of leukocyte proliferation
GO:0001909	leukocyte mediated cytotoxicity
GO:0098581	detection of external biotic stimulus
GO:0050878	regulation of body fluid levels
GO:0050817	coagulation
GO:0002821	positive regulation of adaptive immune response
GO:0035455	response to interferon-alpha
GO:0043299	leukocyte degranulation
GO:0045670	regulation of osteoclast differentiation
GO:0006953	acute-phase response
GO:0001659	temperature homeostasis
GO:0051091	positive regulation of DNA-binding transcription factor activity
GO:0045446	endothelial cell differentiation
GO:1903707	negative regulation of hemopoiesis
GO:0030203	glycosaminoglycan metabolic process
GO:0032620	interleukin-17 production
GO:0032660	regulation of interleukin-17 production
GO:0048771	tissue remodeling
GO:0007596	blood coagulation
GO:0001501	skeletal system development
GO:0031640	killing of cells of another organism
GO:0141061	disruption of cell in another organism
